matchId,squadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,disposals,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,passes,penalties,pickups,possessions,rebounds,timeInPossession,tossUpWin,turnovers,pacePer60,offensiveRating,defensiveRating,netRating
98181201,801,5,3,0,0,1,54,45,3,19,218,81,6,32,69,16,53,41,4,8,3,0,13,3,1,135,58,12,88,6,49,0,22,86.41571194762685,60.22727272727273,72.04301075268818,-11.815738025415449
98181201,806,2,4,0,0,2,57,42,4,18,240,92,9,40,75,8,67,49,6,12,5,0,7,0,2,149,49,13,93,4,51,0,18,91.32569558101473,72.04301075268818,60.22727272727273,11.815738025415449
