matchId,squadId,GS,GA,WA,C,WD,GD,GK,startingTime,finishTime,teamStartScore,teamEndScore,oppStartScore,oppEndScore,duration,plusMinus,plusMinusPer60,oppSquadId
116950302,812,1006558,999128,1001846,80146,80535,80814,80530,0,900,0,9,0,12,900,-3,-12.0,811
116950302,812,999128,1006558,1001846,80535,1006559,80814,80530,900,1367,9,16,12,17,467,2,15.417558886509637,811
116950302,812,999128,1006558,80569,80535,1006559,80814,80530,1367,1800,16,19,17,23,433,-3,-24.942263279445726,811
116950302,812,999128,1006558,80569,80535,1006559,80814,80010,1800,2524,19,30,23,34,724,0,0.0,811
116950302,812,999128,1006558,1016602,80569,1006559,80814,80010,2524,3383,30,45,34,47,859,2,8.381839348079161,811
116950302,812,999128,1006558,1016602,80569,1006559,80534,80010,3383,3600,45,48,47,48,217,2,33.17972350230415,811
116950302,811,1001357,80475,994224,80701,80299,80577,998404,0,900,0,12,0,9,900,3,12.0,812
116950302,811,1001357,80475,994224,80701,991901,80577,998404,900,1800,12,23,9,19,900,1,4.0,812
116950302,811,1001711,993463,994224,80701,991901,1014130,998404,1800,3006,23,41,19,38,1206,-1,-2.9850746268656714,812
116950302,811,1001711,993463,994224,80701,991901,1014130,80343,3006,3600,41,48,38,48,594,-3,-18.18181818181818,812
