matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverHeld,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
119460101,811,813,1,7,3,0,0,50,62,44,1,1,11,52,83,6,67,20,42,61,13,48,33,4,11,8,5,7,15,271,12,0,56,7,48,27,4,47,51,0,0,65,11,2.0,86.0,86.0,55.81395348837209,68.29268292682927,-12.47872943845718
119460101,813,811,3,4,0,3,2,48,74,45,2,2,11,56,70,16,56,23,50,61,5,56,39,9,8,5,8,0,40,412,15,1,60,10,56,23,5,45,49,0,2,73,17,2.0,82.0,82.0,68.29268292682927,55.81395348837209,12.47872943845718
