matchId,squadId,playerId,period,periodSeconds,positionCode,scoreName,scorePoints,matchSeconds,homeSquadScore,awaySquadScore,scoreDifferential
80121102,802,80022,1,28,1,goal,1,28,0,1,-1
80121102,802,80022,1,47,0,miss,0,47,0,1,-1
80121102,801,80295,1,69,2,goal,1,69,1,1,0
80121102,802,80028,1,89,1,goal,1,89,1,2,-1
80121102,801,80295,1,183,2,miss,0,183,1,2,-1
80121102,801,80003,1,192,1,goal,1,192,2,2,0
80121102,802,80022,1,203,0,goal,1,203,2,3,-1
80121102,801,80295,1,228,1,goal,1,228,3,3,0
80121102,802,80022,1,247,0,goal,1,247,3,4,-1
80121102,801,80003,1,262,2,goal,1,262,4,4,0
80121102,802,80028,1,293,2,goal,1,293,4,5,-1
80121102,801,80295,1,311,0,goal,1,311,5,5,0
80121102,802,80028,1,332,0,goal,1,332,5,6,-1
80121102,801,80295,1,348,0,miss,0,348,5,6,-1
80121102,801,80295,1,384,1,goal,1,384,6,6,0
80121102,801,80295,1,408,0,goal,1,408,7,6,1
80121102,801,80295,1,422,2,goal,1,422,8,6,2
80121102,802,80022,1,453,2,goal,1,453,8,7,1
80121102,802,80022,1,491,2,goal,1,491,8,8,0
80121102,801,80295,1,547,1,goal,1,547,9,8,1
80121102,801,80295,1,561,1,goal,1,561,10,8,2
80121102,802,80022,1,586,0,goal,1,586,10,9,1
80121102,801,80295,1,612,2,goal,1,612,11,9,2
80121102,802,80028,1,628,2,goal,1,628,11,10,1
80121102,801,80295,1,651,0,goal,1,651,12,10,2
80121102,802,80022,1,671,2,goal,1,671,12,11,1
80121102,801,80003,1,715,1,miss,0,715,12,11,1
80121102,801,80295,1,722,1,goal,1,722,13,11,2
80121102,801,80295,1,810,0,goal,1,810,14,11,3
80121102,801,80003,1,857,2,miss,0,857,14,11,3
80121102,801,80295,1,862,2,goal,1,862,15,11,4
80121102,802,80022,1,876,2,goal,1,876,15,12,3
80121102,801,80295,2,59,0,goal,1,962,16,12,4
80121102,802,80022,2,103,2,goal,1,1006,16,13,3
80121102,802,80022,2,125,2,goal,1,1028,16,14,2
80121102,801,80295,2,247,0,goal,1,1150,17,14,3
80121102,802,80028,2,270,1,goal,1,1173,17,15,2
80121102,801,80295,2,295,2,goal,1,1198,18,15,3
80121102,801,80295,2,334,0,goal,1,1237,19,15,4
80121102,801,80295,2,363,2,goal,1,1266,20,15,5
80121102,802,80028,2,387,0,goal,1,1290,20,16,4
80121102,801,80295,2,425,0,miss,0,1328,20,16,4
80121102,801,80295,2,428,0,goal,1,1331,21,16,5
80121102,802,80028,2,450,2,miss,0,1353,21,16,5
80121102,802,80028,2,496,1,goal,1,1399,21,17,4
80121102,801,80295,2,524,0,goal,1,1427,22,17,5
80121102,802,80028,2,545,1,goal,1,1448,22,18,4
80121102,801,80295,2,556,1,goal,1,1459,23,18,5
80121102,801,80003,2,594,0,goal,1,1497,24,18,6
80121102,802,80028,2,645,2,goal,1,1548,24,19,5
80121102,802,80022,2,673,1,goal,1,1576,24,20,4
80121102,801,80295,2,698,1,goal,1,1601,25,20,5
80121102,802,80028,2,746,1,goal,1,1649,25,21,4
80121102,801,80295,2,769,0,goal,1,1672,26,21,5
80121102,802,80022,2,822,2,goal,1,1725,26,22,4
80121102,801,80295,2,854,2,goal,1,1757,27,22,5
80121102,802,80028,2,903,0,goal,1,1806,27,23,4
80121102,801,80003,3,26,0,miss,0,1834,27,23,4
80121102,801,80295,3,33,0,miss,0,1841,27,23,4
80121102,801,80295,3,41,0,goal,1,1849,28,23,5
80121102,801,80295,3,69,0,goal,1,1877,29,23,6
80121102,801,80295,3,99,1,goal,1,1907,30,23,7
80121102,801,80295,3,142,2,goal,1,1950,31,23,8
80121102,801,80295,3,168,1,goal,1,1976,32,23,9
80121102,801,80295,3,209,2,miss,0,2017,32,23,9
80121102,802,80022,3,256,1,goal,1,2064,32,24,8
80121102,801,80295,3,276,2,goal,1,2084,33,24,9
80121102,802,80022,3,313,0,miss,0,2121,33,24,9
80121102,802,80022,3,339,2,miss,0,2147,33,24,9
80121102,802,80022,3,349,1,goal,1,2157,33,25,8
80121102,801,80295,3,368,0,miss,0,2176,33,25,8
80121102,801,80003,3,390,1,miss,0,2198,33,25,8
80121102,801,80295,3,398,2,goal,1,2206,34,25,9
80121102,801,80295,3,446,2,miss,0,2254,34,25,9
80121102,802,80028,3,465,0,goal,1,2273,34,26,8
80121102,801,80295,3,482,1,goal,1,2290,35,26,9
80121102,802,80022,3,505,1,goal,1,2313,35,27,8
80121102,801,80295,3,558,2,goal,1,2366,36,27,9
80121102,801,80295,3,605,1,goal,1,2413,37,27,10
80121102,801,80295,3,624,1,goal,1,2432,38,27,11
80121102,802,80028,3,645,0,miss,0,2453,38,27,11
80121102,802,80022,3,703,2,goal,1,2511,38,28,10
80121102,801,80295,3,746,2,goal,1,2554,39,28,11
80121102,801,80295,3,789,1,goal,1,2597,40,28,12
80121102,801,80003,3,823,0,goal,1,2631,41,28,13
80121102,802,80022,3,845,1,miss,0,2653,41,28,13
80121102,801,80003,3,885,0,miss,0,2693,41,28,13
