matchId,squadId,playerId,teamLabel,period,eventLabel,xCoord,yCoord,xCoordMetres,yCoordMetres,scoreA,scoreB,squadScore,oppSquadScore,nextScoreSquadId
103930203,8117,80575,B,1,loss_badPass,89,182,13.5725,27.755000000000003,3,2,2,3,807.0
103930203,807,991903,A,1,throwIn,-7,8,-1.0675000000000001,1.22,3,2,3,2,807.0
103930203,807,991905,A,1,possession,30,33,4.575,5.032500000000001,3,2,3,2,807.0
103930203,807,1006231,A,1,possession,18,44,2.745,6.71,3,2,3,2,807.0
103930203,807,991905,A,1,possession,19,96,2.8975,14.639999999999999,3,2,3,2,807.0
103930203,807,993463,A,1,possession,16,168,2.44,25.619999999999997,3,2,3,2,807.0
103930203,8117,80010,B,1,penalty_contact,51,9,7.7775,1.3725,3,2,2,3,807.0
103930203,807,80078,A,1,goalMake,49,191,7.4725,29.127499999999998,4,2,4,2,807.0
103930203,807,1000831,A,1,centrePass,50,100,7.625,15.25,4,2,4,2,807.0
103930203,807,1006231,A,1,centrePassReceive,67,86,10.217500000000001,13.115,4,2,4,2,807.0
103930203,807,1000831,A,1,secondPhaseReceive,78,119,11.895,18.1475,4,2,4,2,807.0
103930203,807,1006231,A,1,possession,64,109,9.76,16.622500000000002,4,2,4,2,807.0
103930203,807,991905,A,1,possession,23,99,3.5075000000000003,15.0975,4,2,4,2,807.0
103930203,807,1000831,A,1,possession,88,129,13.42,19.6725,4,2,4,2,807.0
103930203,807,80078,A,1,possession,91,167,13.877500000000001,25.467499999999998,4,2,4,2,807.0
103930203,807,993463,A,1,possession,65,197,9.9125,30.0425,4,2,4,2,807.0
103930203,8117,80559,B,1,penalty_contact,35,3,5.3374999999999995,0.45749999999999996,4,2,2,4,807.0
103930203,807,993463,A,1,possession,65,197,9.9125,30.0425,4,2,4,2,807.0
103930203,807,80078,A,1,goalMake,48,197,7.319999999999999,30.0425,5,2,5,2,807.0
103930203,8117,80296,B,1,centrePass,50,100,7.625,15.25,5,2,2,5,8117.0
103930203,8117,80575,B,1,centrePassReceive,13,121,1.9825000000000002,18.4525,5,2,2,5,8117.0
103930203,8117,80475,B,1,secondPhaseReceive,21,135,3.2024999999999997,20.587500000000002,5,2,2,5,8117.0
103930203,8117,80575,B,1,possession,85,183,12.9625,27.907500000000002,5,2,2,5,8117.0
103930203,8117,80575,B,1,feed,85,183,12.9625,27.907500000000002,5,2,2,5,8117.0
103930203,8117,80113,B,1,goalMake,47,193,7.1674999999999995,29.432499999999997,5,3,3,5,8117.0
103930203,807,1000831,A,1,centrePass,50,100,7.625,15.25,5,3,5,3,8117.0
103930203,807,992954,A,1,penalty_contactOnCP,51,116,7.7775,17.689999999999998,5,3,5,3,8117.0
103930203,807,991905,A,1,penalty_contact,48,79,7.319999999999999,12.047500000000001,5,3,5,3,8117.0
103930203,8117,80575,B,1,possession,52,121,7.930000000000001,18.4525,5,3,3,5,8117.0
103930203,8117,80296,B,1,possession,11,151,1.6775,23.0275,5,3,3,5,8117.0
103930203,8117,80296,B,1,feed,11,151,1.6775,23.0275,5,3,3,5,8117.0
103930203,8117,80113,B,1,goalMake,51,180,7.7775,27.45,5,4,4,5,8117.0
103930203,8117,80296,B,1,centrePass,50,100,7.625,15.25,5,4,4,5,8117.0
103930203,8117,80475,B,1,centrePassReceive,76,117,11.59,17.842499999999998,5,4,4,5,8117.0
103930203,8117,80575,B,1,secondPhaseReceive,90,185,13.725,28.212500000000002,5,4,4,5,8117.0
103930203,8117,80475,B,1,possession,76,161,11.59,24.552500000000002,5,4,4,5,8117.0
103930203,8117,80475,B,1,feed,76,161,11.59,24.552500000000002,5,4,4,5,8117.0
103930203,8117,80113,B,1,possession,60,186,9.15,28.365000000000002,5,4,4,5,8117.0
103930203,8117,80475,B,1,possession,74,171,11.285,26.0775,5,4,4,5,8117.0
103930203,8117,80296,B,1,possession,15,188,2.2875,28.669999999999998,5,4,4,5,8117.0
103930203,8117,80296,B,1,feed,15,188,2.2875,28.669999999999998,5,4,4,5,8117.0
103930203,8117,80113,B,1,possession,62,180,9.455,27.45,5,4,4,5,8117.0
103930203,8117,80475,B,1,goalMake,52,192,7.930000000000001,29.279999999999998,5,5,5,5,8117.0
103930203,807,1000831,A,1,centrePass,50,100,7.625,15.25,5,5,5,5,8117.0
103930203,807,993463,A,1,centrePassReceive,81,132,12.352500000000001,20.130000000000003,5,5,5,5,8117.0
103930203,807,1000831,A,1,secondPhaseReceive,62,131,9.455,19.9775,5,5,5,5,8117.0
103930203,807,992954,A,1,possession,42,141,6.404999999999999,21.502499999999998,5,5,5,5,8117.0
103930203,807,992954,A,1,feed,42,141,6.404999999999999,21.502499999999998,5,5,5,5,8117.0
103930203,807,993463,A,1,possession,58,190,8.844999999999999,28.974999999999998,5,5,5,5,8117.0
103930203,807,992954,A,1,possession,60,168,9.15,25.619999999999997,5,5,5,5,8117.0
103930203,8117,998401,B,1,penalty_contact,40,32,6.1000000000000005,4.88,5,5,5,5,8117.0
103930203,807,992954,A,1,possession,60,168,9.15,25.619999999999997,5,5,5,5,8117.0
103930203,807,992954,A,1,feed,60,168,9.15,25.619999999999997,5,5,5,5,8117.0
103930203,8117,80010,B,1,gain_deflection,48,7,7.319999999999999,1.0675000000000001,5,5,5,5,8117.0
103930203,8117,80559,B,1,possession,32,22,4.88,3.355,5,5,5,5,8117.0
103930203,8117,998401,B,1,possession,59,71,8.997499999999999,10.827499999999999,5,5,5,5,8117.0
103930203,8117,80575,B,1,possession,39,112,5.9475,17.080000000000002,5,5,5,5,8117.0
103930203,8117,80296,B,1,possession,7,134,1.0675000000000001,20.435000000000002,5,5,5,5,8117.0
103930203,8117,80475,B,1,possession,33,148,5.032500000000001,22.57,5,5,5,5,8117.0
103930203,807,1006231,A,1,deflection,80,41,12.200000000000001,6.2524999999999995,5,5,5,5,8117.0
103930203,8117,80296,B,1,throwIn,-9,165,-1.3725,25.162499999999998,5,5,5,5,8117.0
103930203,8117,998401,B,1,possession,9,128,1.3725,19.52,5,5,5,5,8117.0
103930203,807,993463,A,1,penalty_obstruction,91,72,13.877500000000001,10.98,5,5,5,5,8117.0
103930203,8117,998401,B,1,possession,9,128,1.3725,19.52,5,5,5,5,8117.0
103930203,8117,80296,B,1,possession,9,138,1.3725,21.044999999999998,5,5,5,5,8117.0
103930203,8117,80475,B,1,possession,29,155,4.422499999999999,23.6375,5,5,5,5,8117.0
103930203,8117,80575,B,1,possession,50,158,7.625,24.095000000000002,5,5,5,5,8117.0
103930203,8117,80575,B,1,feed,50,158,7.625,24.095000000000002,5,5,5,5,8117.0
103930203,8117,80113,B,1,possession,53,189,8.0825,28.822499999999998,5,5,5,5,8117.0
103930203,807,991903,A,1,penalty_contact,47,11,7.1674999999999995,1.6775,5,5,5,5,8117.0
103930203,8117,80113,B,1,goalMake,53,189,8.0825,28.822499999999998,5,6,6,5,8117.0
103930203,8117,80296,B,1,centrePass,50,100,7.625,15.25,5,6,6,5,8117.0
103930203,8117,80475,B,1,centrePassReceive,30,119,4.575,18.1475,5,6,6,5,8117.0
103930203,8117,80575,B,1,secondPhaseReceive,45,123,6.8625,18.7575,5,6,6,5,8117.0
103930203,8117,80296,B,1,possession,79,143,12.047500000000001,21.807499999999997,5,6,6,5,8117.0
103930203,8117,80575,B,1,loss_footwork,86,171,13.115,26.0775,5,6,6,5,8117.0
103930203,807,991903,A,1,possession,14,31,2.1350000000000002,4.7275,5,6,5,6,8117.0
103930203,807,991905,A,1,possession,15,52,2.2875,7.930000000000001,5,6,5,6,8117.0
103930203,807,1006231,A,1,possession,26,91,3.9650000000000003,13.877500000000001,5,6,5,6,8117.0
103930203,8117,80296,B,1,penalty_contact,74,109,11.285,16.622500000000002,5,6,6,5,8117.0
103930203,807,1006231,A,1,possession,26,91,3.9650000000000003,13.877500000000001,5,6,5,6,8117.0
103930203,807,991905,A,1,possession,51,77,7.7775,11.7425,5,6,5,6,8117.0
103930203,807,992954,A,1,possession,92,118,14.030000000000001,17.994999999999997,5,6,5,6,8117.0
103930203,807,991905,A,1,possession,20,118,3.0500000000000003,17.994999999999997,5,6,5,6,8117.0
103930203,807,1000831,A,1,possession,20,148,3.0500000000000003,22.57,5,6,5,6,8117.0
