attempt1,attempt2,goal1,goal2,goalMisses,goalAssists,feeds,feedWithAttempt,centrePassReceives,gain,intercepts,deflections,deflectionWithGain,deflectionWithNoGain,rebounds,pickups,contactPenalties,obstructionPenalties,generalPlayTurnovers,interceptPassThrown,badHands,badPasses,offsides,minutesPlayed,roundNo,squadId,oppSquadId,fantasyScore
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8508659998993898,0.3321852453784301,0.5993252798555145,0.04944763192697406,0.3129519000561566,0.17129207919025674,0.03350226381100671,2.8994859480955824,0.6711008564155155,0.3477929235609689,0.014310396693772317,0.0,0.0024872307350655115,0.0,20.08074365682038,1.0,804.0,810.0,29.41909150995795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0748078962240226,0.3623603942416064,0.628757867407035,0.04171817058096415,0.2771944590768162,0.1635538143380997,0.01407617906795968,2.537560492072829,0.5207568698297993,0.24223407653617107,0.005231839480265617,0.0,0.0007037281598651035,0.0,19.85369037764959,2.0,804.0,8119.0,31.435087193994462
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982544243396926,0.2261446738523892,0.562351617440225,0.02492676502996587,0.2019446282579461,0.16884681219754444,0.011422150246224016,2.648544623414338,0.5547848027273552,0.1930996678681667,0.003783381296411825,0.0,0.0,0.0,19.666274115721123,3.0,804.0,8118.0,30.055180281505887
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0357063188386026,0.2286641386575782,0.5760229691170821,0.01728515677422472,0.22053331295466816,0.10867778984980704,0.0036353027107852904,2.839423905143765,0.4361802545661431,0.15153219965195427,0.0005464078982336722,0.0,0.0,0.0,19.798879007515083,4.0,804.0,8117.0,29.726118523234092
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9277001842940984,0.18945855920579976,0.4864055624949595,0.008824380236573007,0.15440540502133632,0.07951686572258836,0.0030112395959232814,2.4234732163472645,0.34553498692083384,0.14936882676396523,0.0008512619293053569,0.0,0.0,0.0,18.887402775609413,5.0,804.0,801.0,28.116071211220376
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9405132061326921,0.1781854557796395,0.5384353232972602,0.00876984754971778,0.1789154263976312,0.085746258472456,0.0005493004411841638,2.425307958511869,0.2652023085896728,0.1231594191974933,0.0,0.0,0.0,0.0,18.64188270563228,6.0,804.0,806.0,28.531262527265337
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6969235617029039,0.13905018439354194,0.39120217375339655,0.005705826802048652,0.11332806448840783,0.0491782850561867,0.0005714199393312963,2.0669567589418643,0.24076396597941932,0.08831164039814426,0.0004692539208651918,0.0,0.0,0.0,18.408639614556485,7.0,804.0,807.0,26.027748168292195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792868874879876,0.1008125016377673,0.31890845357609565,0.0014842546424370933,0.10096356122612374,0.03595087325398032,0.0005471795823847259,2.1871869622046063,0.293092185097323,0.08191856522093342,0.0,0.0,0.0,0.0,18.427217084238283,8.0,804.0,810.0,24.091454792933725
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7612864330614736,0.13351372877913953,0.38863636193416423,0.0011164332385058518,0.11014064929388753,0.050586765537386044,0.0005031450846233556,2.383781627194121,0.2587984429993644,0.07014812009999094,0.0,0.0,0.0,0.0,18.267186039377677,9.0,804.0,8117.0,26.378599722398466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734944458520583,0.12133685052028083,0.37445055236813163,0.004551945657298386,0.09788213050966267,0.034857732275707154,0.0005824912897964225,2.11935445367668,0.23762906211255025,0.08229236045529101,0.0008233364422860451,0.0,0.0,0.0,18.09950097345626,10.0,804.0,801.0,25.896999236643946
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7264904087296722,0.1274473506544417,0.38580464846725837,0.001140480631123116,0.11056348466375002,0.040586101713715274,0.0010715120934880126,2.183158977959915,0.1767608123592853,0.06089937053252029,0.0,0.0,0.0,0.0,18.261122886846756,11.0,804.0,806.0,26.12661616946323
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5688568856885688,0.0916984777793487,0.3034083398425765,0.0,0.07554094349720927,0.029152132127856483,0.0,1.9280278256733456,0.18075463743676226,0.05705849493256724,0.00045478017979954467,0.0,0.0,0.0,17.929043790321614,12.0,804.0,807.0,24.43991353036924
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6339097963399455,0.10161611912305382,0.3039514357210225,0.0032074126870990736,0.07093095051441971,0.029456899287487334,0.0,1.896021394892578,0.19983886787165475,0.05532319863512082,0.0,0.0,0.0,0.0,17.693067147675766,13.0,804.0,8119.0,24.880087290518233
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6991906944714872,0.07303779568637679,0.29216998386229154,0.0,0.06411133295294666,0.027329483153292068,0.0,2.0390671263594644,0.22053806982819224,0.04459531176103194,0.0,0.0,0.0,0.0,17.829533775309887,14.0,804.0,8118.0,24.893022189356255
