matchId,squadId,oppSquadId,playerId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,points,possessionChanges,possessions,quartersPlayed,rebounds,tossUpWin,reboundsPer60,netPointsPer60,penaltiesPer60,centrePassToGoalPercPer60,generalPlayTurnoversPer60,deflectionWithNoGainPer60,interceptPassThrownPer60,pointsPer60,gainPer60,possessionsPer60,goalMissesPer60,blockedPer60,passesPer60,deflectionWithGainPer60,goalAssistsPer60,disposalsPer60,tossUpWinPer60,centrePassReceivesPer60,obstructionPenaltiesPer60,feedsPer60,goalsPer60,offsidesPer60,badPassesPer60,breaksPer60,blocksPer60,badHandsPer60,missedGoalTurnoverPer60,deflectionPossessionGainPer60,possessionChangesPer60,goalAttemptsPer60,contactPenaltiesPer60,quartersPlayedPer60,minutesPlayedPer60,feedWithAttemptPer60,pickupsPer60,interceptsPer60,gainToGoalPercPer60,plusMinus,plusMinusPer60
113150103,811,813,1001711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113150103,811,813,1007219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113150103,813,811,80198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113150103,813,811,80225,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,44.0,0.0,61.5,0.0,0.0,0.0,3.0,2.0,0.0,3.0,15.0,4.0,4.0,0.0,5.454545454545454,83.86363636363636,4.090909090909091,0.0,4.090909090909091,2.727272727272727,2.727272727272727,0.0,10.909090909090908,20.454545454545453,0.0,0.0,0.0,1.3636363636363635,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,1.3636363636363635,1.3636363636363635,0.0,0.0,0.0,1.3636363636363635,4.090909090909091,0.0,4.090909090909091,5.454545454545454,59.99999999999999,0.0,2.727272727272727,4.090909090909091,0.0,6.0,8.181818181818182
113150103,813,811,80305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,60.0,0.0,25.5,3.0,0.0,0.0,9.0,1.0,0.0,1.0,8.0,4.0,1.0,0.0,1.0,25.5,9.0,0.0,1.0,4.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,60.0,0.0,1.0,1.0,0.0,6.0,6.0
113150103,813,811,80424,1.0,0.0,0.0,0.0,1.0,15.0,0.0,2.0,0.0,0.0,1.0,18.0,12.0,18.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,33.56666666666667,0.0,30.5,1.0,0.0,18.0,3.0,1.0,0.0,2.0,16.0,3.0,0.0,0.0,0.0,54.5183714001986,5.362462760675273,0.0,3.574975173783515,1.7874875868917575,0.0,0.0,0.0,28.59980139026812,0.0,0.0,32.17477656405163,0.0,17.874875868917574,32.17477656405163,0.0,26.812313803376362,1.7874875868917575,32.17477656405163,0.0,0.0,0.0,1.7874875868917575,0.0,1.7874875868917575,0.0,0.0,3.574975173783515,0.0,3.574975173783515,5.362462760675273,60.0,21.44985104270109,1.7874875868917575,0.0,0.0,7.0,12.512413108242303
113150103,813,811,80427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,6.0,9.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,38.1,0.0,18.0,0.0,1.0,9.0,4.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,28.346456692913385,6.299212598425196,0.0,3.149606299212598,0.0,1.574803149606299,0.0,0.0,1.574803149606299,0.0,0.0,14.173228346456693,0.0,6.299212598425196,14.173228346456693,0.0,0.0,0.0,14.173228346456693,0.0,1.574803149606299,0.0,0.0,0.0,0.0,0.0,0.0,3.149606299212598,0.0,6.299212598425196,4.724409448818897,60.0,9.448818897637794,1.574803149606299,0.0,0.0,-4.0,-6.299212598425196
113150103,813,811,80444,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,2.0,41.0,20.0,22.0,0.0,0.0,2.0,19.0,17.0,3.0,14.0,1.0,0.0,60.0,0.0,57.0,0.0,0.0,22.0,2.0,0.0,14.0,4.0,35.0,4.0,1.0,0.0,1.0,57.0,2.0,0.0,2.0,2.0,1.0,14.0,0.0,35.0,3.0,0.0,22.0,0.0,19.0,41.0,0.0,15.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,2.0,4.0,60.0,20.0,0.0,0.0,0.0,6.0,6.0
113150103,813,811,80477,1.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,9.0,6.0,9.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,26.433333333333334,0.0,7.0,1.0,0.0,9.0,3.0,1.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,15.889029003783103,6.809583858764187,0.0,4.539722572509458,0.0,0.0,0.0,0.0,18.15889029003783,0.0,0.0,20.428751576292562,0.0,13.619167717528374,20.428751576292562,0.0,15.889029003783103,2.269861286254729,20.428751576292562,0.0,0.0,2.269861286254729,0.0,0.0,2.269861286254729,0.0,0.0,4.539722572509458,0.0,4.539722572509458,4.539722572509458,60.0,13.619167717528374,2.269861286254729,0.0,0.0,-1.0,-2.269861286254729
113150103,813,811,80710,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,2.0,2.0,1.0,0.0,4.0,2.0,43.0,2.0,41.0,0.0,1.0,60.0,0.0,71.0,0.0,0.0,2.0,3.0,2.0,41.0,5.0,47.0,4.0,1.0,0.0,1.0,71.0,3.0,0.0,4.0,0.0,0.0,41.0,1.0,47.0,2.0,0.0,2.0,0.0,2.0,45.0,0.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,43.0,3.0,4.0,60.0,2.0,2.0,1.0,0.0,6.0,6.0
113150103,813,811,80778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113150103,813,811,994117,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,60.0,0.0,26.5,0.0,0.0,0.0,5.0,2.0,0.0,1.0,10.0,4.0,0.0,0.0,0.0,26.5,5.0,0.0,1.0,3.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,60.0,0.0,2.0,1.0,0.0,6.0,6.0
113150103,813,811,998411,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.375,18.75,0.0,0.0,3.75,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,3.75,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,7.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0
113150103,813,811,1001583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,38.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,104.1095890410959,8.219178082191782,0.0,0.0,2.7397260273972606,0.0,0.0,2.7397260273972606,0.0,0.0,0.0,24.657534246575345,2.7397260273972606,24.657534246575345,24.657534246575345,0.0,0.0,0.0,24.657534246575345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7397260273972606,0.0,0.0,8.219178082191782,5.479452054794521,60.0,24.657534246575345,0.0,0.0,0.0,10.0,27.397260273972606
