matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,possessionChanges,possessions,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,offensiveRebounds,pacePer60,offensiveRating,defensiveRating,netRating
107240503,804,806,2.0,1.0,0.0,0.0,1.0,51.0,68.0,48.0,3.0,3.0,16.0,131.0,52.0,61.0,7.0,71.0,20.0,46.0,58.0,8.0,50.0,38.0,5.0,7.0,6.0,2.0,0.0,25.0,257.5,17.0,2.0,61.0,65.0,13.0,23.0,82.0,4.0,45.0,0.0,37.0,2.0,81.3895781637717,60.97560975609756,72.28915662650603,-11.313546870408466
107240503,806,804,3.0,2.0,0.0,0.0,1.0,54.0,75.0,41.0,1.0,1.0,17.0,153.0,61.0,78.0,11.0,91.0,17.0,55.0,65.0,5.0,60.0,42.0,10.0,8.0,2.0,6.0,0.0,40.0,390.5,4.0,2.0,78.0,46.0,9.0,19.0,83.0,6.0,55.0,0.0,35.0,2.0,82.38213399503722,72.28915662650603,60.97560975609756,11.313546870408466
