surname,firstName,playerId,team,regularSeasonScale,preseasonScale,rd2_exp,rd3_exp,rd4_exp,rd5_exp,rd6_exp,rd7_exp,rd8_exp,rd9_exp,rd10_exp,rd11_exp,rd12_exp,rd13_exp,rd14_exp
DWAN,Tippah,1007306,Thunderbirds,0.9,0,1,1,1,1,1,1,1,1,1,1,1,1,1
GARRETT,Matilda,1007301,Thunderbirds,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
NANKIVELL,Maisie,1016033,Thunderbirds,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
WATSON,Liz,994224,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
WESTON,Jo,80577,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
KUMWENDA,Mwai,80540,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
AUSTIN,Kiera,1001708,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MOLONEY,Kate,991901,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MANNIX,Emily,994213,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
EDDY,Kate,1001701,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMASON,Rahni,1013077,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MUNDY,Hannah,1022297,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LEWIS,Olivia,1004510,Vixens,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
