matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,obstructionPenalties,offsides,passes,penalties,pickups,possessionChanges,possessions,rebounds,timeInPossession,tossUpWin,offensiveRebounds,pacePer60,offensiveRating,defensiveRating,netRating
105650105,812,833,1,1,1,0,0,0,12,0,14,0,0,3,25,10,14,5,0,10,10,11,0,11,6,3,2,3,5,5,1,14,19,2,10,21,0,39,0,0,83.44370860927152,52.38095238095239,59.09090909090909,-6.709956709956707
105650105,812,833,2,0,1,0,0,0,10,0,17,1,1,2,22,8,11,5,0,6,7,10,1,9,8,1,0,1,3,3,0,11,20,1,7,17,1,37,0,0,67.47519294377067,52.94117647058824,66.66666666666666,-13.725490196078418
105650105,812,833,3,2,0,0,0,0,9,0,11,2,2,3,33,13,16,10,0,9,11,14,2,12,4,4,4,6,4,7,1,16,18,2,11,25,4,48,0,0,99.00990099009901,48.0,25.0,23.0
105650105,812,833,4,0,0,1,0,0,11,0,6,1,1,1,43,15,23,7,0,7,11,18,5,13,7,4,2,5,5,3,1,23,9,3,9,24,2,58,0,3,95.57522123893806,54.166666666666664,42.857142857142854,11.30952380952381
105650105,833,812,1,1,0,0,0,0,12,0,7,1,1,2,39,12,22,4,0,9,11,14,1,13,8,1,4,5,3,2,0,22,9,3,9,22,1,61,0,1,87.41721854304636,59.09090909090909,52.38095238095239,6.709956709956707
105650105,833,812,2,1,0,0,0,0,12,0,9,1,1,2,39,14,22,3,0,5,13,15,1,14,8,1,5,3,1,0,1,22,9,3,6,21,1,63,0,0,83.35170893054024,66.66666666666666,52.94117647058824,13.725490196078418
105650105,833,812,3,0,1,0,0,0,8,0,16,1,1,2,30,11,13,8,0,10,6,12,6,6,3,2,1,4,6,0,0,13,16,2,14,24,2,52,0,2,95.04950495049505,25.0,48.0,-23.0
105650105,833,812,4,1,0,0,1,0,11,0,18,0,0,3,24,8,12,7,0,10,7,12,3,9,3,4,2,5,5,1,2,12,19,0,11,21,4,42,0,2,83.6283185840708,42.857142857142854,54.166666666666664,-11.30952380952381
