matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80351002,807,809,1,2,1,0,1,0,10,12,0,4,16,3,4,10,2,8,2,0,4,2,1,16,2,2,0,4,12,47.73480662983425,66.66666666666666,72.22222222222221,-5.555555555555557
80351002,807,809,2,2,1,0,0,0,9,20,2,2,22,2,9,16,5,11,0,0,6,1,1,26,2,3,0,6,21,83.07692307692308,52.38095238095239,55.00000000000001,-2.6190476190476204
80351002,807,809,3,0,2,0,0,0,14,12,1,1,27,4,12,19,1,18,2,0,3,1,1,15,1,2,0,4,22,87.22466960352423,81.81818181818183,55.00000000000001,26.81818181818182
80351002,807,809,4,0,3,0,0,0,15,24,0,1,21,1,8,15,1,14,0,0,3,1,0,27,1,1,0,4,18,70.81967213114754,77.77777777777779,84.21052631578947,-6.43274853801168
80351002,807,809,5,0,1,0,0,0,6,9,1,1,12,2,5,8,0,8,0,0,1,1,0,10,1,2,0,1,8,65.75342465753425,100.0,75.0,25.0
80351002,807,809,6,0,0,0,0,1,5,6,0,1,5,0,2,3,0,3,0,0,4,0,0,10,0,0,0,1,4,33.88235294117647,75.0,88.88888888888889,-13.888888888888886
80351002,809,807,1,0,1,1,0,0,10,9,0,3,23,5,7,15,2,13,2,0,5,0,0,14,5,0,0,3,18,71.60220994475138,72.22222222222221,66.66666666666666,5.555555555555557
80351002,809,807,2,1,0,0,0,0,12,3,1,3,21,1,6,15,4,11,0,0,5,1,1,8,1,2,0,6,20,79.12087912087912,55.00000000000001,52.38095238095239,2.6190476190476204
80351002,809,807,3,0,2,0,0,0,14,9,0,2,18,3,6,14,3,11,2,0,6,0,0,15,1,0,0,6,20,79.29515418502203,55.00000000000001,81.81818181818183,-26.81818181818182
80351002,809,807,4,1,0,0,0,0,13,11,0,1,24,0,9,18,2,16,0,0,2,2,0,13,2,2,0,3,19,74.75409836065573,84.21052631578947,77.77777777777779,6.43274853801168
80351002,809,807,5,1,0,0,0,0,7,6,0,2,8,1,4,6,0,6,0,0,1,0,0,7,2,0,0,2,8,65.75342465753425,75.0,100.0,-25.0
80351002,809,807,6,0,0,0,0,0,6,1,0,2,12,2,7,8,0,8,1,0,2,0,0,3,0,0,0,1,9,76.23529411764706,88.88888888888889,75.0,13.888888888888886
