matchId,squadId,oppSquadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,lastCentrePass,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,timeout,tossUpWin,turnoverHeld,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
124380404,806,810,45,17,45,17,1,2,0,0,0,58,66,41,3,3,19,22,57,78,7,86,16,41,9,46,62,12,41,9,50,40,6,4,2,4,Q4 14:00,6,8,389.5,10,5,51,10,59,22,1,52,45,3,0,1,67,8,0.96,83.03999999999999,83.03999999999999,60.211946050096344,80.95238095238095,-20.740434902284605
124380404,810,806,63,9,63,9,1,2,0,0,1,58,87,27,6,6,17,23,70,91,13,69,12,61,7,66,72,4,61,7,68,52,9,7,4,2,Q4 13:13,1,25,594,8,0,35,18,75,13,5,49,55,2,0,1,88,6,1.0,84.0,84.0,80.95238095238095,60.211946050096344,20.740434902284605
