matchId,squadId,GS,GA,WA,C,WD,GD,GK,startingTime,finishTime,teamStartScore,teamEndScore,oppStartScore,oppEndScore,duration,plusMinus,plusMinusPer60,oppSquadId
116651203,804,80540,1001708,994224,991901,1001701,80577,994213,0.0,2368.0,0,42,0,37,2368.0,5,7.601351351351351,8117
116651203,804,80540,1001708,1022297,1001701,991901,80577,994213,2368.0,2384.0,42,42,37,37,16.0,0,0.0,8117
116651203,804,80540,1001708,1022297,994224,991901,80577,994213,2384.0,3600.0,42,64,37,60,1216.0,-1,-2.960526315789474,8117
116651203,8117,1001357,80475,80296,1015543,1000831,80440,1006231,0.0,49.0,0,0,0,1,49.0,-1,-73.46938775510205,804
116651203,8117,1001357,1022298,80296,1015543,1000831,80440,1006231,49.0,648.0,0,6,1,14,599.0,-7,-42.070116861435736,804
116651203,8117,1001357,80475,80296,1015543,1000831,80440,1006231,648.0,691.0,6,7,14,15,43.0,0,0.0,804
116651203,8117,1022298,80475,80296,1015543,1000831,80440,1006231,691.0,900.0,7,13,15,19,209.0,2,34.44976076555024,804
116651203,8117,1022298,80475,80296,1015543,1000831,1006231,1001920,900.0,1045.0,13,14,19,20,145.0,0,0.0,804
116651203,8117,1001357,80475,80296,1015543,1000831,1006231,1001920,1045.0,1207.0,14,16,20,24,162.0,-2,-44.44444444444444,804
116651203,8117,1001357,80475,1022293,80296,1000831,1006231,1001920,1207.0,1555.0,16,21,24,30,348.0,-1,-10.344827586206897,804
116651203,8117,1022298,80475,1022293,80296,1000831,1006231,1001920,1555.0,1586.0,21,23,30,30,31.0,2,232.258064516129,804
116651203,8117,1022298,1001357,1022293,80296,1000831,1006231,1001920,1586.0,2111.0,23,32,30,37,525.0,2,13.714285714285714,804
116651203,8117,80475,1001357,1022293,80296,1000831,1006231,1001920,2111.0,3274.0,32,54,37,58,1163.0,1,3.0954428202923476,804
116651203,8117,1022298,1001357,1022293,80296,1000831,1006231,1001920,3274.0,3328.0,54,56,58,58,54.0,2,133.33333333333334,804
116651203,8117,1022298,80475,1022293,80296,1000831,1006231,1001920,3328.0,3600.0,56,60,58,64,272.0,-2,-26.47058823529412,804
