matchId,squadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,disposals,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,passes,penalties,pickups,possessions,rebounds,timeInPossession,tossUpWin,turnovers,pacePer60,offensiveRating,defensiveRating,netRating
100840102,804,5,2,1,0,0,55,36,2,15,160,82,6,32,64,9,55,45,3,7,2,0,24,1,0,82,60,4,82,3,53,0,19,81.121187139324,67.07317073170732,73.68421052631578,-6.611039794608459
100840102,8117,5,4,0,1,0,52,61,1,13,153,75,7,34,61,5,56,43,5,8,1,0,19,3,0,75,81,9,76,4,47,0,18,75.18549051937346,73.68421052631578,67.07317073170732,6.611039794608459
