price,surname,firstName,team,position
140000,FOWLER,Jhaniele,Fever,GS
100000,CARDWELL,Eleanor,Thunderbirds,GA/GS 
130000,WATSON,Liz,Vixens,C/WA
80000,JOVIC,Molly,Magpies,C
100000,WESTON,Jo,Vixens,GD/WD
100000,PRETORIUS,Karla,Lightning,GD 
55000,DEHANEY,Kadie-Ann,Lightning,GK
35000,STOWER,Mia,Firebirds,GA
30000,MILLER,Annie,Lightning,C/WA
30000,UNIE,Ashlee,Firebirds,GD/WD
