attempt1,attempt2,goal1,goal2,goalMisses,goalAssists,feeds,feedWithAttempt,centrePassReceives,gain,intercepts,deflections,deflectionWithGain,deflectionWithNoGain,rebounds,pickups,contactPenalties,obstructionPenalties,generalPlayTurnovers,interceptPassThrown,badHands,badPasses,offsides,minutesPlayed,roundNo,squadId,oppSquadId,fantasyScore
9.187263768553933,2.954788082132905,5.8828949132971635,1.9685313733496663,4.0813097390855075,2.4085788230831677,3.3311149384924947,2.3931743478564935,0.0,0.0,0.0,0.0,0.0,0.0,0.2681374321880651,0.0,0.0,0.0,0.49061710357711696,0.06988035373677821,0.0,0.0,0.0,22.358723344500394,2.0,804.0,8119.0,31.342944537968314
9.68108336836743,1.6053640017070916,7.883889380097994,1.0470617677959049,1.6072379116451851,4.305347861377322,5.22010711106509,4.1858643755570775,2.1183542209569524,0.0,0.0,0.0,0.0,0.0,0.0403075421395376,0.0,0.7032116667316769,0.0,0.9289822441228887,0.005314811169539665,0.0,0.0,0.0,26.677725495686328,3.0,804.0,8118.0,47.76540368849032
9.675155752654353,1.5303343975522963,7.837321988659081,0.9889014759723523,1.591321778092206,4.375775668116442,5.395675940911127,4.278805710241502,1.9454249854764762,0.0,0.0,0.0,0.0,0.0,0.008972774039913178,0.0,0.5909066028867551,0.0,0.6721735335830393,0.00046195121084519297,0.0,0.0,0.0,25.919946721589476,4.0,804.0,8117.0,47.83623306138716
7.849009145233285,1.4849043324846039,6.068214434604704,0.8358181416818501,1.6906372390432842,3.456286694805474,4.866951532764428,3.6203575558482286,1.706620158016981,0.0,0.0,0.0,0.0,0.0,0.002936515335135639,0.0,0.5367948285482129,0.0,0.8060629651254391,0.0,0.0,0.0,0.0,25.985694229218833,5.0,804.0,801.0,38.50766605435447
8.595176384278997,1.2013897208577933,7.121817058456767,0.7648248177336994,0.9771139910153787,4.003599974972149,4.764944190573427,3.9354738265790474,2.0445617720033957,0.0,0.0,0.0,0.0,0.0,0.0026623806836306527,0.0,0.539930515157787,0.0,0.8797047529251257,0.0,0.0,0.0,0.0,27.59621684779276,6.0,804.0,806.0,46.57620110691995
9.745733768456965,1.3191118730604217,7.875995094257179,0.6963689716192908,1.338378325234261,4.432212238574308,5.509860512744265,4.487997956792884,2.043236952367486,0.0,0.0,0.0,0.0,0.0,0.0010244233885118234,0.0,0.4054142569303361,0.0,0.7180178736082659,0.0,0.0,0.0,0.0,27.425812662122144,7.0,804.0,807.0,48.382194095257255
8.99284685164016,1.8453753441659333,7.172323787486799,1.1605564582340546,1.3437155198694648,4.237906830616922,5.54168629505243,4.392698162760188,2.3409664965678547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41409869501746627,0.0,0.6168907503769611,0.0,0.0,0.0,0.0,27.53677116644951,8.0,804.0,810.0,49.45658229561349
9.269290581254737,1.3375683912303271,7.4848706451714655,0.8008890057976781,1.1022848863700359,4.318309881225026,5.514187998152044,4.361821696910768,2.0174149260632572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3778130139141406,0.0,0.511251900658895,0.0,0.0,0.0,0.0,26.880798867114926,9.0,804.0,8117.0,49.98063091488445
7.532179699572608,1.2731709406296743,5.781679827559926,0.6501377062833816,1.2051099402298586,3.4015253518169364,4.881174410859788,3.6423014615277376,1.7224733483688208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3064527203401365,0.0,0.6123786113403555,0.0,0.0,0.0,0.0,26.817826558513236,10.0,804.0,801.0,39.98284454223681
8.05758557187759,1.0254287667568291,6.568977755428239,0.5785091284574994,0.7628737702947135,3.8440307467639445,4.6665582720911285,3.833495959131718,1.9081174334085718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27388339237682174,0.0,0.562538025592105,0.0,0.0,0.0,0.0,26.82704851014896,11.0,804.0,806.0,45.35807428922317
9.263683116517901,1.1394757229156875,7.428957218600492,0.5535524920466596,1.0010124575053045,4.240471368072178,5.3919243978126365,4.373209127261948,2.0219829170198778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2621200168040134,0.0,0.5218607133740224,0.0,0.0,0.0,0.0,26.90800027057323,12.0,804.0,807.0,48.52674900737302
8.67619706130648,1.3426478158054642,6.969704833736986,0.7097838063756222,0.9897598615417899,4.0320958847771164,5.1974052930403785,4.07234597305464,1.9413844024995432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22420941179472131,0.0,0.44336427852679927,0.0,0.0,0.0,0.0,26.72738879897857,13.0,804.0,8119.0,47.16087534449323
8.786728889899148,0.9619280213358904,7.23958348670049,0.4775258261443258,0.7518763490673033,4.152358765724208,5.121799403060164,4.094978469870936,1.9830470257134027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22105853450117496,0.0,0.4651708364980493,0.0,0.0,0.0,0.0,27.01637470039506,14.0,804.0,8118.0,47.868521065337006
