matchId,squadId,oppSquadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
116650203,810,8119,72,4,72,4,5,1,0,1,2,50,75,37,3,3,15,18,67,88,14,57,23,66,2,61,76,8,66,2,68,45,8,15,6,4,1,75,443,11,3,48,13,70,24,12,43,54,0,83,16,6.0,95.0,95.0,71.57894736842105,47.16981132075472,24.409136047666337
116650203,8119,810,55,13,55,13,4,4,1,0,1,56,54,61,2,2,15,17,61,86,8,63,24,47,3,44,68,18,47,3,50,33,5,12,4,6,10,11,209,18,0,79,6,53,34,4,54,46,0,75,18,2.0,106.0,106.0,47.16981132075472,71.57894736842105,-24.409136047666337
