matchId,squadId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverHeld,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
116650603,807,1,17.0,2.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,76.0,14.0,0.0,0.0,4.0,4.0,18.0,20.0,1.0,100.0,2.0,14.0,1.0,14.0,19.0,4.0,14.0,1.0,15.0,13.0,1.0,1.0,1.0,1.0,4.0,0.0,74.5,5.0,0.0,19.0,1.0,16.0,6.0,0.0,13.0,45.0,0.0,0.0,33.0,1.0,0.0,25.0,100.0,60.0,69.23076923076923,-9.230769230769226
116650603,807,2,14.0,4.0,14.0,4.0,2.0,1.0,0.0,0.0,2.0,17.0,65.0,12.0,1.0,1.0,3.0,4.0,16.0,20.0,4.0,50.0,8.0,13.0,1.0,12.0,18.0,4.0,13.0,1.0,14.0,11.0,2.0,1.0,1.0,2.0,2.0,50.0,69.5,1.0,0.0,13.0,2.0,15.0,10.0,3.0,14.0,42.0,0.0,1.0,50.0,4.0,2.0,26.0,104.0,53.84615384615385,52.77777777777778,1.0683760683760681
116650603,807,3,17.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,81.0,11.0,0.0,0.0,3.0,3.0,18.0,28.0,2.0,50.0,4.0,17.0,0.0,17.0,18.0,1.0,17.0,0.0,17.0,13.0,1.0,3.0,1.0,1.0,1.0,0.0,112.0,4.0,0.0,15.0,4.0,17.0,5.0,1.0,13.0,55.0,0.0,0.0,75.0,3.0,0.0,23.0,92.0,73.91304347826086,66.66666666666666,7.246376811594203
116650603,807,4,7.0,6.0,7.0,6.0,1.0,2.0,0.0,0.0,0.0,11.0,62.0,16.0,0.0,0.0,3.0,3.0,12.0,15.0,3.0,33.0,7.0,7.0,2.0,9.0,13.0,4.0,7.0,2.0,9.0,8.0,1.0,0.0,1.0,2.0,2.0,25.0,30.0,5.0,0.0,21.0,1.0,11.0,9.0,3.0,9.0,38.0,0.0,0.0,0.0,6.0,1.0,22.0,88.0,40.909090909090914,55.172413793103445,-14.263322884012531
116650603,8119,1,22.0,1.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,16.0,82.0,14.0,0.0,0.0,1.0,1.0,20.0,31.0,6.0,50.0,4.0,18.0,0.0,15.0,23.0,5.0,18.0,0.0,18.0,14.0,3.0,1.0,2.0,2.0,1.0,60.0,116.5,1.0,0.0,15.0,1.0,18.0,5.0,7.0,15.0,55.0,0.0,0.0,100.0,3.0,3.0,26.0,104.0,69.23076923076923,60.0,9.230769230769226
116650603,8119,2,26.0,1.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,71.0,11.0,3.0,3.0,0.0,3.0,25.0,34.0,5.0,80.0,5.0,19.0,0.0,16.0,27.0,8.0,19.0,0.0,19.0,12.0,4.0,3.0,2.0,0.0,1.0,25.0,148.0,1.0,0.0,12.0,7.0,19.0,6.0,4.0,12.0,58.0,0.0,0.0,75.0,2.0,2.0,36.0,144.0,52.77777777777778,53.84615384615385,-1.0683760683760681
116650603,8119,3,17.0,0.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,75.0,11.0,0.0,0.0,3.0,3.0,14.0,22.0,2.0,50.0,5.0,14.0,0.0,11.0,17.0,3.0,14.0,0.0,14.0,12.0,1.0,1.0,1.0,1.0,1.0,67.0,67.0,5.0,0.0,16.0,1.0,14.0,6.0,3.0,14.0,45.0,0.0,0.0,33.0,4.0,2.0,21.0,84.0,66.66666666666666,73.91304347826086,-7.246376811594203
116650603,8119,4,20.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,62.0,9.0,2.0,2.0,2.0,4.0,20.0,28.0,3.0,67.0,5.0,16.0,0.0,16.0,20.0,4.0,16.0,0.0,16.0,8.0,2.0,6.0,2.0,1.0,2.0,0.0,98.0,2.0,0.0,11.0,3.0,16.0,7.0,0.0,10.0,62.0,0.0,0.0,100.0,3.0,0.0,29.0,116.0,55.172413793103445,40.909090909090914,14.263322884012531
