matchId,squadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
90840405,801,1,0,1,2,0,0,12,8,0,2,15,2,5,19,4,15,2,0,8,1,0,16,2,1,0,2,20,79.12087912087912,75.0,70.58823529411765,4.411764705882348
90840405,801,2,0,5,0,0,0,12,11,0,2,12,2,4,16,5,11,2,0,7,3,3,18,5,3,0,7,20,61.855670103092784,55.00000000000001,70.0,-14.999999999999993
90840405,801,3,1,0,1,0,2,16,8,1,1,19,1,7,21,5,16,0,0,6,1,0,14,5,2,0,3,23,89.90228013029316,69.56521739130434,68.18181818181817,1.3833992094861713
90840405,801,4,1,0,0,1,1,15,14,0,3,19,4,6,16,2,14,2,0,4,1,0,18,2,1,0,3,18,67.99580272822665,77.77777777777779,83.33333333333334,-5.555555555555557
90840405,801,5,0,1,0,0,0,5,3,0,3,8,1,4,9,1,8,1,0,0,1,0,3,0,1,0,1,9,73.80410022779044,88.88888888888889,87.5,1.3888888888888857
90840405,801,6,2,3,0,0,0,5,4,0,1,2,1,2,4,0,4,0,0,3,0,0,7,3,0,0,7,11,87.41721854304636,36.36363636363637,61.53846153846154,-25.174825174825173
90840405,805,1,0,0,0,2,2,12,15,1,6,12,3,5,13,1,12,0,0,6,0,0,21,3,1,0,4,17,67.25274725274726,70.58823529411765,75.0,-4.411764705882348
90840405,805,2,1,1,0,0,0,12,16,0,2,20,0,9,19,5,14,0,0,7,2,0,23,1,2,0,3,20,61.855670103092784,70.0,55.00000000000001,14.999999999999993
90840405,805,3,1,2,0,1,0,14,15,1,3,23,3,8,16,1,15,2,0,3,0,0,18,1,1,0,6,22,85.99348534201954,68.18181818181817,69.56521739130434,-1.3833992094861713
90840405,805,4,0,1,1,0,0,10,13,0,1,17,3,12,16,1,15,2,0,6,0,0,19,1,0,0,2,18,67.99580272822665,83.33333333333334,77.77777777777779,5.555555555555557
90840405,805,5,0,0,0,0,0,8,5,0,1,8,0,4,8,1,7,0,0,1,1,0,6,2,1,0,1,8,65.60364464692483,87.5,88.88888888888889,-1.3888888888888857
90840405,805,6,2,3,0,0,1,5,4,0,0,8,1,7,8,0,8,1,0,2,0,0,6,0,0,0,5,13,103.3112582781457,61.53846153846154,36.36363636363637,25.174825174825173
