matchId,squadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,disposals,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,passes,penalties,pickups,possessions,rebounds,timeInPossession,tossUpWin,turnovers,pacePer60,offensiveRating,defensiveRating,netRating
98180701,807,7,4,0,0,0,47,47,4,16,209,81,7,29,73,12,61,39,9,13,3,0,14,7,1,128,63,12,91,11,53,0,25,89.85189248491498,67.03296703296702,56.52173913043478,10.51122790253224
98180701,810,2,6,0,0,0,57,55,1,5,214,73,4,34,67,15,52,36,4,12,3,0,25,6,3,130,80,10,92,7,47,0,31,90.83927591881515,56.52173913043478,67.03296703296702,-10.51122790253224
