matchId,squadId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
116650202,807,1,15.0,2.0,15.0,2.0,1.0,0.0,1.0,0.0,0.0,16.0,76.0,8.0,1.0,1.0,9.0,10.0,17.0,23.0,3.0,100.0,3.0,14.0,2.0,16.0,17.0,1.0,14.0,2.0,16.0,13.0,3.0,0.0,1.0,1.0,1.0,0.0,132.5,0.0,0.0,8.0,1.0,18.0,4.0,1.0,13.0,44.0,0.0,0.0,2.0,0.0,21.0,84.0,76.19047619047619,66.66666666666666,9.523809523809533
116650202,807,2,24.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,94.0,7.0,4.0,4.0,8.0,12.0,22.0,27.0,5.0,60.0,3.0,22.0,0.0,20.0,24.0,2.0,22.0,0.0,22.0,15.0,3.0,4.0,0.0,1.0,0.0,0.0,233.0,1.0,1.0,8.0,10.0,22.0,3.0,0.0,14.0,59.0,0.0,100.0,3.0,0.0,29.0,116.0,75.86206896551724,45.0,30.86206896551724
116650202,807,3,17.0,3.0,17.0,3.0,1.0,0.0,1.0,0.0,1.0,15.0,73.0,8.0,1.0,1.0,5.0,6.0,19.0,25.0,5.0,80.0,2.0,15.0,2.0,16.0,20.0,3.0,15.0,2.0,17.0,11.0,4.0,2.0,0.0,2.0,1.0,33.0,142.0,2.0,1.0,10.0,2.0,19.0,3.0,3.0,14.0,49.0,0.0,67.0,2.0,1.0,23.0,92.0,73.91304347826086,52.0,21.91304347826086
116650202,807,4,21.0,5.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,16.0,83.0,8.0,0.0,0.0,6.0,6.0,24.0,27.0,3.0,100.0,4.0,19.0,2.0,19.0,26.0,5.0,19.0,2.0,21.0,15.0,3.0,3.0,2.0,3.0,1.0,40.0,141.5,2.0,0.0,10.0,2.0,23.0,5.0,2.0,13.0,54.0,0.0,50.0,2.0,2.0,31.0,124.0,67.74193548387096,43.333333333333336,24.408602150537625
116650202,8117,1,18.0,2.0,18.0,2.0,0.0,0.0,0.0,1.0,0.0,12.0,81.0,8.0,0.0,0.0,1.0,1.0,16.0,20.0,2.0,100.0,2.0,15.0,1.0,12.0,20.0,4.0,15.0,1.0,16.0,13.0,2.0,1.0,1.0,1.0,2.0,25.0,95.5,4.0,0.0,12.0,3.0,17.0,4.0,1.0,11.0,56.0,0.0,50.0,1.0,1.0,24.0,96.0,66.66666666666666,76.19047619047619,-9.523809523809533
116650202,8117,2,10.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,44.0,18.0,0.0,0.0,5.0,5.0,10.0,14.0,0.0,0.0,7.0,9.0,0.0,9.0,11.0,2.0,9.0,0.0,9.0,7.0,0.0,2.0,1.0,0.0,2.0,0.0,24.0,5.0,0.0,23.0,3.0,9.0,9.0,0.0,12.0,41.0,0.0,67.0,4.0,0.0,20.0,80.0,45.0,75.86206896551724,-30.86206896551724
116650202,8117,3,15.0,3.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,9.0,1.0,1.0,1.0,2.0,17.0,21.0,2.0,50.0,4.0,13.0,0.0,12.0,18.0,5.0,13.0,0.0,13.0,10.0,1.0,2.0,2.0,0.0,4.0,20.0,57.0,1.0,1.0,10.0,5.0,13.0,8.0,1.0,14.0,51.0,0.0,100.0,3.0,1.0,25.0,100.0,52.0,73.91304347826086,-21.91304347826086
116650202,8117,4,12.0,6.0,12.0,6.0,0.0,1.0,0.0,0.0,1.0,17.0,65.0,9.0,0.0,0.0,4.0,4.0,17.0,20.0,3.0,67.0,7.0,11.0,2.0,12.0,18.0,5.0,11.0,2.0,13.0,11.0,2.0,0.0,3.0,2.0,2.0,0.0,62.0,5.0,1.0,14.0,2.0,15.0,9.0,2.0,13.0,46.0,0.0,0.0,6.0,0.0,30.0,120.0,43.333333333333336,67.74193548387096,-24.408602150537625
