attempt1,attempt2,goal1,goal2,goalMisses,goalAssists,feeds,feedWithAttempt,centrePassReceives,gain,intercepts,deflections,deflectionWithGain,deflectionWithNoGain,rebounds,pickups,contactPenalties,obstructionPenalties,generalPlayTurnovers,interceptPassThrown,badHands,badPasses,offsides,minutesPlayed,roundNo,squadId,oppSquadId,fantasyScore,matchId,playerId,netPoints
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,12.0,2.0,10.0,4.0,7.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,60.0,1.0,801.0,807.0,249.0,120450104.0,80830.0,158.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,801.0,806.0,86.0,120450202.0,80830.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,0.0,7.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,801.0,8117.0,146.0,120450302.0,80830.0,76.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,8.0,1.0,7.0,4.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,4.0,801.0,8118.0,179.0,120450403.0,80830.0,133.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.570995245052553,2.1250557099747223,6.759933610724586,0.4638017280582083,6.114680577641448,1.7855033062005132,2.0040093601248623,7.449789718617952,2.2544979807197127,0.6463362497379048,0.2203995446685378,0.0,0.0,0.0,59.27705531541476,5.0,801.0,804.0,130.28302870907703,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36788494151411,2.1839034590642807,4.095197032388841,0.3066356372024055,3.5452907968259595,1.395964691046658,1.62056679376497,6.9307558388761485,1.9458952439830308,0.5276109503317901,0.15869641012607083,0.0,0.0,0.0,58.91187433484603,6.0,801.0,810.0,105.52132890808019,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.513496811192961,2.5194906794140794,5.2741354886581755,0.36097116561366704,4.59470409229232,1.8741839508551124,1.4175841300265695,6.583501862144851,2.294728881606507,0.5176050345322748,0.1246045397181906,0.0,0.0,0.0,58.81903520622796,7.0,801.0,8119.0,123.07258044523732,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.038388505087992,2.0795427855632975,5.717791721485679,0.5148411299948843,4.478421218054262,2.52356387211159,1.7461529953653985,6.77686111789114,2.618021596963296,0.5166099934588632,0.12955695355374114,0.0,0.0,0.0,59.05231265893308,8.0,801.0,8118.0,134.1580233076743,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.490620906705292,2.7241875578914976,5.310422457558981,0.3870063531784113,4.375590952568685,2.064994127210975,1.6919993877287962,6.458982265139916,2.0004845578091697,0.4768041884232502,0.08116537930629386,0.0,0.0,0.0,58.78634889840077,9.0,801.0,807.0,133.24463398157525,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72288539897834,1.8642208039223973,5.560267727046261,0.27071128494857305,4.851940615991139,1.3303462817289757,1.2144091455393728,7.840458025760513,2.3370419426048565,0.43427044216651445,0.0693274317175861,0.0,0.0,0.0,58.987626735635274,10.0,801.0,804.0,110.03843830885387,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.168340199945328,2.112834554238284,3.77516274095725,0.22916109425951955,3.1991300976907455,1.238590033975085,1.2672505645761154,7.091686226526477,2.026311177611494,0.44121305447148507,0.08393543270679882,0.0,0.0,0.0,58.69738295046239,11.0,801.0,810.0,99.79173410929371,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.186364827544501,2.343069710917502,4.904239252467313,0.27451101575697645,4.161431190621702,1.6346418191815253,1.175884713260453,6.5667199990127925,2.2070289295361207,0.41703539218738905,0.0680922406347992,0.0,0.0,0.0,58.64890420381476,12.0,801.0,8119.0,115.5908359730608,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4706709629181285,2.905470627226779,6.000187687687688,0.3684310497657338,4.930556418034027,1.8396326386435888,1.5180139932594863,7.176667723581532,2.0889918216158727,0.36862409483409597,0.06438864851974245,0.0,0.0,0.0,58.629762499225315,13.0,801.0,8117.0,142.55037064899022,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.212521671252491,2.437986012566273,6.3465758509093515,0.3579661630855154,5.339481438179424,2.0507254416391567,1.6919178781660356,6.24421062447546,1.690347696797994,0.4251925229029573,0.06915291660620339,0.0,0.0,0.0,58.60530379584914,14.0,801.0,806.0,141.45533086702747,,,
