matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,quartersPlayed,rebounds,tossUpWin,unforcedTurnovers
116950402,811,812,998404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,998404,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,1,0,0,0
116950402,811,812,998404,3,0,0,0,0,0,0,0,3,1,4,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,3,2,0,0,1,0,0,0
116950402,811,812,998404,4,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,15,0,1,0,2,0,0,0,1,1,0,0
116950402,811,812,1001357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1001357,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1001357,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1001357,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1001711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1001711,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1001711,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1001711,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1014130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1014130,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1014130,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,811,812,1014130,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80010,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,1,0,0,0
116950402,812,811,80010,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,3,0,0,0,1,0,0,0
116950402,812,811,80010,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,15,0,0,0,2,0,0,0,1,0,0,0
116950402,812,811,80010,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,0,0,1,0,0,0
116950402,812,811,80146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80146,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80530,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80530,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80530,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,1,0,0,0
116950402,812,811,80534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80534,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80534,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80534,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80535,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,3,0,0,0,0,0,15,0,2,0,2,0,0,1,1,0,0,1
116950402,812,811,80535,2,0,0,0,0,0,0,0,1,0,1,5,7,0,0,0,5,0,0,0,0,0,15,0,0,0,1,0,0,0,1,0,0,0
116950402,812,811,80535,3,0,0,0,0,0,1,0,2,0,0,3,4,0,0,0,2,0,0,0,0,0,15,0,0,0,2,0,0,0,1,0,0,0
116950402,812,811,80535,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0
116950402,812,811,80569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80569,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,80569,3,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,5,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0
116950402,812,811,80569,4,0,0,0,0,0,0,0,1,0,2,3,6,0,0,2,2,0,0,0,0,0,15,0,2,0,3,0,0,2,1,0,0,2
116950402,812,811,80814,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,15,0,1,0,2,1,0,0,1,0,0,0
116950402,812,811,80814,2,0,0,0,0,0,3,0,3,0,2,0,0,1,0,0,0,0,0,0,0,1,15,0,0,0,3,0,0,0,1,0,0,0
116950402,812,811,80814,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,1,0,0,0,1,0,0,0
116950402,812,811,80814,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15,0,1,0,2,0,0,1,1,0,0,0
116950402,812,811,999128,1,0,1,0,0,0,7,0,0,0,0,1,1,0,0,1,1,4,0,4,0,0,15,0,0,0,0,0,4,1,1,0,0,1
116950402,812,811,999128,2,0,0,0,0,0,6,0,0,0,2,2,2,0,0,0,2,3,0,3,0,0,15,0,0,0,0,2,3,0,1,0,0,0
116950402,812,811,999128,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,6,1,5,0,0,15,0,0,0,0,0,5,0,1,0,0,0
116950402,812,811,999128,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,15,1,0,0,1,1,2,1,1,0,0,0
116950402,812,811,1001846,1,0,1,0,0,0,3,0,2,0,0,7,8,0,0,3,7,0,0,0,1,0,15,0,0,0,2,1,0,3,1,0,0,2
116950402,812,811,1001846,2,0,0,0,0,0,2,0,0,0,0,4,5,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0
116950402,812,811,1001846,3,0,0,0,0,0,7,0,0,0,0,3,6,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0
116950402,812,811,1001846,4,0,0,0,0,0,3,0,1,0,0,6,6,0,0,0,3,0,0,0,0,0,15,0,1,0,2,0,0,0,1,0,0,0
116950402,812,811,1006558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,10,0,0,15,0,0,0,0,0,10,0,1,1,0,0
116950402,812,811,1006558,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,10,0,0,15,0,0,0,0,0,10,1,1,0,0,1
116950402,812,811,1006558,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,9,0,9,0,0,15,0,0,0,0,0,9,1,1,1,0,1
116950402,812,811,1006558,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,6,1,0,0,0,0,1,2,1,0,0,0
116950402,812,811,1006559,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,2,0,0,0,1,0,0,0
116950402,812,811,1006559,2,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,15,0,1,1,4,0,0,1,1,0,0,1
116950402,812,811,1006559,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,0,0,1,0,0,0
116950402,812,811,1006559,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0
116950402,812,811,1013782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,1013782,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,1013782,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116950402,812,811,1013782,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,0,0,8,2,0,0,0,0,2,3,1,0,0,1
