matchId,squadId,oppSquadId,playerId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,deflections,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,points,possessionChanges,possessions,quartersPlayed,rebounds,tossUpWin
111080102,801,810,999806,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111080102,801,810,999806,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111080102,801,810,1001712,1,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,15.0,0.0,15.5,0.0,0.0,4.0,1.0,0.0,3.0,1.0,9.0,1.0,0.0,0.0
111080102,801,810,1001712,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
111080102,801,810,1001712,3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0
111080102,801,810,1001712,4,0.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,1.0,0.0,5.0,5.0,0.0,0.0,7.0,0.0,9.5,0.0,0.0,0.0,1.0,0.0,10.0,1.0,10.0,1.0,1.0,0.0
111080102,801,810,1001865,1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,3.0,10.0,0.0,1.0,10.0,0.0,10.0,0.0,10.0,1.0,0.0,15.0,0.0,-4.5,0.0,0.0,1.0,3.0,0.0,10.0,3.0,10.0,1.0,0.0,0.0
111080102,801,810,1001865,2,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,12.0,0.0,12.0,0.0,12.0,0.0,0.0,15.0,0.0,34.5,0.0,0.0,2.0,0.0,0.0,12.0,0.0,13.0,1.0,1.0,0.0
111080102,801,810,1001865,3,8.0,2.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,2.0,0.0,0.0,1.0,7.0,1.0,2.0,10.0,2.0,7.0,1.0,8.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,10.0,1.0,0.0,0.0
111080102,801,810,1001865,4,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,15.0,0.0,9.5,0.0,0.0,4.0,1.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0
