matchId,squadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,possessionChanges,possessions,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,offensiveRebounds,pacePer60,offensiveRating,defensiveRating,netRating
103930304,810,2,2,0,1,3,53,0,51,4,4,14,177,60,100,16,0,19,52,65,9,56,38,12,6,7,9,0,44,382,16,0,100,67,12,23,85.0,7,50,0,23,4.0,84.34399117971333,65.88235294117646,62.5,3.382352941176464
103930304,8117,3,5,1,0,0,54,0,38,2,2,15,155,51,76,11,0,23,42,64,9,55,41,7,7,9,7,0,44,300,10,2,76,48,10,26,88.0,5,50,0,30,4.0,87.32083792723263,62.5,65.88235294117646,-3.382352941176464
