matchId,squadId,oppSquadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
113910201,8118,8119,62,14,62,14,2,7,1,0,0,55,71,33,4,4,15,19,67,93,20,55,25,54,6,54,76,16,54,6,60,42,11,7,7,12,9,19,347,2,1,35,8,66,34,8,53,0,47,13,3.0,111.0,111.0,54.054054054054056,56.25,-2.195945945945944
113910201,8119,8118,59,5,59,5,1,1,0,1,1,56,60,56,6,6,13,19,56,71,21,52,30,54,0,48,64,10,54,0,54,35,11,8,12,7,5,40,306,5,1,61,13,54,35,12,47,0,62,15,4.0,96.0,96.0,56.25,54.054054054054056,2.195945945945944
