price,surname,firstName,team,position,points2020,played2020,avg2020
140000,FOWLER,Jhaniele,Fever,GS,1978,14,141.3
115000,STERLING,Shamera,Thunderbirds,GK,1662,14,118.7
110000,AIKEN,Romelda,Firebirds,GS,1590,14,113.6
110000,BRUCE,Courtney,Fever,GK/GD,1365,12,113.8
110000,PRICE,Jamie-Lee,GIANTS,WD/C,1583,14,113.1
105000,CASSIDY,Mahalia,Lightning,C,1479,14,105.6
105000,CHARLES,Verity,Fever,C/WA,1484,14,106
100000,AUSTIN,Kiera,GIANTS,WA/GA,1413,14,100.9
100000,BUETA,Gretel,Firebirds,GA/GS,,,
100000,MENTOR,Geva,Magpies,GK,1453,14,103.8
100000,MOLONEY,Kate,Vixens,C/WA,1408,14,100.6
100000,PRETORIUS,Karla,Lightning,GD,1412,14,100.9
95000,HARTEN,Jo,GIANTS,GA/GS,1340,14,95.7
95000,JENNER,Kimberley,Firebirds,GD,1376,14,98.3
95000,NANKIVELL,Maisie,Thunderbirds,WD/C,1383,14,98.8
95000,PROUD,Maddy,Swifts,C/WA,1298,13,99.8
90000,DWAN,Tippah,Firebirds,GA,1282,14,91.6
90000,KLAU,Sarah,Swifts,GK,1274,14,91
90000,WALLACE,Sam,Swifts,GS,1266,14,90.4
85000,HADLEY,Paige,Swifts,C/WA,1216,14,86.9
85000,HAY,Maddie,GIANTS,C/WA,1158,13,89.1
85000,KOENEN,Cara,Lightning,GA/GS,1210,14,86.4
85000,MAWENI,Phumza,Lightning,GK,1206,14,86.1
85000,PARMENTER,Amy,GIANTS,WD/C,1137,13,87.5
85000,POTGIETER,Lenize,Thunderbirds,GS,1251,14,89.4
85000,SINCLAIR,Gabrielle,Magpies,GA,1217,14,86.9
85000,TEAGUE-NEELD,Alice,Fever,GA,1197,14,85.5
85000,WESTON,Jo,Vixens,GD/WD,1232,14,88
85000,WOOD,Stephanie,Lightning,GA,1237,14,88.4
80000,HOUSBY,Helen,Swifts,GA/GS,919,11,83.5
80000,SIMPSON,Gabi,Firebirds,WD,1140,14,81.4
75000,BRAGG,Melissa,Magpies,WD,1112,14,79.4
75000,BRAZILL,Ash,Magpies,WD/C,,,
75000,BROWNE,Kelsey,Magpies,WA,627,8,78.4
75000,HINCHLIFFE,Tara,Firebirds,GK/GD,1050,14,75
75000,KUMWENDA,Mwai,Vixens,GS,1018,13,78.3
75000,MANNIX,Emily,Vixens,GK,957,12,79.8
75000,MCCOLLIN,Kalifa,Magpies,GA/GS,,,
75000,RAVAILLION,Kim,Firebirds,C,,,
75000,SCHERIAN,Laura,Lightning,C/WA,1119,14,79.9
75000,WILSON,Latanya,Thunderbirds,GK/GD,,,
70000,ANSTISS,Jess,Fever,WD/C,986,14,70.4
70000,HAYTHORNTHWAITE,Nat,Swifts,WA/GA,990,14,70.7
70000,JOVIC,Molly,Magpies,C/WA,873,12,72.8
70000,POOLMAN,Sam,GIANTS,GK,1020,14,72.9
70000,WARD,Jodi-Ann,Magpies,GD/WD,1020,14,72.9
65000,DUNKLEY,Lara,Firebirds,C/WA,785,12,65.4
65000,EDDY,Kate,Vixens,GD/WD,974,14,69.6
65000,HORJUS,Georgie,Thunderbirds,WA/GA,954,14,68.1
65000,MI MI,Jemma,Firebirds,C/WA,697,10,69.7
65000,NELSON,Shimona,Magpies,GS,873,13,67.2
60000,COSH,Emma,Fever,WA/GA,673,11,61.2
60000,GARBIN,Sophie,Swifts,GA/GS,866,14,61.9
55000,FRANCIS,Stacey,Fever,GD/WD,836,14,59.7
55000,MANU'A,Kristiana,GIANTS,GD/WD,821,14,58.6
55000,MCAULIFFE,Madeline,Lightning,WD/C,811,14,57.9
55000,TURNER,Maddy,Swifts,GD,514,9,57.1
50000,MCDONALD,Elle,Thunderbirds,C/WA,218,4,54.5
50000,MOORE,Lauren,Swifts,GK/GD,763,14,54.5
50000,PETTY,Hannah,Thunderbirds,C/WA,549,10,54.9
50000,VAN DER MERWE,Shadine,Thunderbirds,GD/WD,717,14,51.2
40000,ARYANG,Sunday,Fever,GD,534,12,44.5
40000,DEHANEY,Kadie-Ann,Vixens,GK,456,11,41.5
40000,GLASGOW,Sasha,Fever,GA/GS,324,8,40.5
40000,SHIMMIN,Kate,Lightning,GD/WD,567,13,43.6
40000,SMITH,Allie,Vixens,GD/WD,177,4,44.3
40000,STANTON,Kaylia,Vixens,GA/GS,407,10,40.7
35000,BRANDLEY,April,GIANTS,GD,426,11,38.7
35000,ELLIS,Rudi,Firebirds,GK,238,6,39.7
35000,GARRETT,Matilda,Thunderbirds,GK/GD,500,14,35.7
35000,LEWIS,Olivia,Fever,GK,394,10,39.4
30000,DWYER,Sophie,GIANTS,GA,48,2,24
30000,FRASER,Tayla,Swifts,C/WA,397,12,33.1
30000,GOODEN,Samantha,Thunderbirds,GA/GS,152,5,30.4
30000,MCDONELL,Matilda,GIANTS,GD,283,9,31.4
30000,NEWTON,Jacqui,Magpies,GK/GD,124,4,31
30000,PROSCOVIA,Peace,Lightning,GS,466,14,33.3
20000,BARKMEYER,Ruby,Vixens,GA,,,
