price,surname,firstName,team,position,points2021,played2021,avg2021
150000,FOWLER,Jhaniele,Fever,GS,2105,14,150.4
125000,BRUCE,Courtney,Fever,GK/GD,1758,14,125.6
125000,HAY,Maddie,GIANTS,WA,1755,14,125.4
125000,STERLING,Shamera,Thunderbirds,GK,1776,14,126.9
125000,WATSON,Liz,Vixens,WA,,,
115000,PARMENTER,Amy,GIANTS,WD,1513,13,116.4
115000,WARD,Jodi-Ann,Magpies,GD,1621,14,115.8
110000,BROWNE,Kelsey,Magpies,WA,1452,13,111.7
110000,PRICE,Jamie-Lee,GIANTS,WD/C,1562,14,111.6
110000,PROUD,Maddy,Swifts,C/WA,1334,12,111.2
110000,RAVAILLION,Kim,Firebirds,C,1584,14,113.1
105000,BRAZILL,Ash,Magpies,WD/C,1390,13,106.9
105000,HOUSBY,Helen,Swifts,GA/GS,1479,14,105.6
105000,KLAU,Sarah,Swifts,GK,1500,14,107.1
105000,KOENEN,Cara,Lightning,GA/GS,1475,14,105.4
105000,NANKIVELL,Maisie,Thunderbirds,C/WA,1532,14,109.4
105000,SIMMONS,Verity,Fever,C/WA,1539,14,109.9
105000,WOOD,Steph,Lightning,GA,1394,13,107.2
100000,ANSTISS,Jess,Fever,WD/C,1403,14,100.2
100000,BRANDLEY,April,GIANTS,GD,1257,12,104.8
100000,NELSON,Shimona,Magpies,GS,1430,14,102.1
95000,BUETA,Gretel,Firebirds,GA/GS,1385,14,98.9
95000,DWYER,Sophie,GIANTS,GA/GS,1355,14,96.8
95000,HARTEN,Jo,GIANTS,GA/GS,1371,14,97.9
95000,KUMWENDA,Mwai,Vixens,GS,1387,14,99.1
95000,POTGIETER,Lenize,Thunderbirds,GS,1366,14,97.6
95000,SAMASON,Rahni,Vixens,GA/GS,299,3,99.7
95000,SINCLAIR,Gabby,Magpies,GA,1265,13,97.3
95000,WALLACE,Sam,Swifts,GS,1348,14,96.3
95000,WESTON,Jo,Vixens,GD,1369,14,97.8
90000,HADLEY,Paige,Swifts,C/WA,1209,13,93
90000,HINCHLIFFE,Tara,Lightning,GK/GD,907,10,90.7
90000,JENNER,Kim,Firebirds,GK/GD,1269,14,90.6
90000,SCHERIAN,Laura,Lightning,C/WA,1323,14,94.5
85000,ARYANG,Sunday,Fever,GD,1219,14,87.1
85000,JOVIC,Molly,Magpies,C,1105,13,85
85000,MENTOR,Geva,Magpies,GK,1158,13,89.1
85000,SIMPSON,Gabi,Firebirds,WD,1106,13,85.1
80000,CASSIDY,Mahalia,Lightning,WD/C,1149,14,82.1
80000,GLASGOW,Sasha,Fever,GA/GS,1056,13,81.2
80000,HORJUS,Georgie,Thunderbirds,WA/GA,1122,14,80.1
80000,TEAGUE-NEELD,Alice,Fever,GA,1181,14,84.4
80000,TURNER,Maddy,Swifts,GD,1169,14,83.5
75000,AUSTIN,Kiera,Vixens,GA,18,1,18
75000,GARRETT,Matilda,Thunderbirds,GD,1084,14,77.4
75000,MANNIX,Emily,Vixens,GK,848,11,77.1
75000,MOLONEY,Kate,Vixens,C,1119,14,79.9
75000,PETTY,Hannah,Thunderbirds,WD/C,1092,14,78
75000,USORO-BROWN,Eboni,Firebirds,GK,,,
75000,WALLAM,Donnell,Firebirds,GS ,,,
70000,EDDY,Kate,Vixens,GD/WD,999,14,71.4
70000,FRANCIS-BAYMAN,Stacey,Fever,GD/WD,990,14,70.7
65000,DEHANEY,Kadie-Ann,Lightning,GK,951,14,67.9
65000,DUNKLEY,Lara,Firebirds,WA,977,14,69.8
65000,MUNDY,Hannah,Vixens,C/WA,958,14,68.4
60000,MOORE,Lauren,GIANTS,GD/WD,784,13,60.3
55000,DWAN,Tippah,Thunderbirds,GA,562,10,56.2
55000,NEWTON,Jacqui,Magpies,GK/GD,515,9,57.2
50000,COSH,Emma,Fever,WA/GA,557,11,50.6
50000,LIND,Maggie,Magpies,C/WA,138,2,69
50000,MI MI,Jemma,Firebirds,C/WA,503,10,50.3
45000,ELLIS,Rudi,Fever,GK,547,11,49.7
45000,FRASER,Tayla,Swifts,WD/C,554,12,46.2
45000,GARBIN,Sophie,Magpies,GA/GS,633,13,48.7
45000,SHIMMIN,Kate,Lightning,GD/WD,559,12,46.6
45000,WILSON,Latanya,Thunderbirds,GD/WD,632,13,48.6
40000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,131,3,43.7
40000,MCDONALD,Elle,Thunderbirds,WA,551,13,42.4
35000,MCDONELL,Matilda,GIANTS,GK,388,10,38.8
35000,SLIGAR,Amy,GIANTS,WD/C,112,3,37.3
35000,SMITH,Allie,Swifts,GD/WD,497,14,35.5
30000,BACHELDOR,Reilley,Lightning,GA/GS,,,
30000,DAVIES,Zoe,Magpies,GD/WD,,,
30000,DONOGHUE,Jemma,GIANTS,GD/WD,,,
30000,HINCHLIFFE,Maddie,Lightning,WD/C,45,1,45
30000,LETHERBARROW,Matisse,GIANTS,GA/GS,67,4,16.8
30000,LEWIS,Olivia,Vixens,GK,209,7,29.9
30000,MILLER,Annie,Lightning,C/WA,20,1,20
30000,O'SHANNASSY,Teigan,Swifts,GK/GD,,,
30000,SINGLETON,Kelly,Swifts,GA,,,
30000,STOWER,Mia,Firebirds,GA,20,1,20
30000,WILLIAMS,Tayla,Thunderbirds,C/WA,,,
