price,surname,firstName,team,position,points2022,played2022,avg2022
140000,BRUCE,Courtney,Fever,GK/GD,1975,14,141.07
140000,FOWLER,Jhaniele,Fever,GS,2023,14,144.5
140000,PROUD,Maddy,Swifts,C/WA,1960,14,140
140000,STERLING,Shamera,Thunderbirds,GK,1977,14,141.21
130000,WATSON,Liz,Vixens,C/WA,1878,14,134.14
125000,BROWNE,Kelsey,Magpies,WA,1761,14,125.79
115000,DWYER,Sophie,GIANTS,GA/GS,1497,13,115.15
110000,GLASGOW,Sasha,Fever,GA/GS,1434,13,110.31
110000,TEAGUE-NEELD,Alice,Fever,WA/GA,1360,12,113.33
110000,WILSON,Latanya,Thunderbirds,GD/WD,1605,14,114.64
105000,NELSON,Shimona,Magpies,GS,1494,14,106.71
105000,PARMENTER,Amy,GIANTS,WD/C,1389,13,106.85
105000,WOOD,Steph,Lightning,WA/GA,1393,13,107.15
100000,CARDWELL,Eleanor,Thunderbirds,GA/GS ,,,
100000,HARTEN,Jo,GIANTS,GA/GS,1429,14,102.07
100000,HAY,Maddie,GIANTS,WA,1441,14,102.93
100000,HOUSBY,Helen,Swifts,GA/GS,1432,14,102.29
100000,KLAU,Sarah,Swifts,GK/GD,1412,14,100.86
100000,PRETORIUS,Karla,Lightning,GD ,,,
100000,PRICE,Jamie-Lee,GIANTS,WD/C,1326,13,102
100000,WALLAM,Donnell,Firebirds,GS,1441,14,102.93
100000,WESTON,Jo,Vixens,GD/WD,1404,14,100.29
95000,DUNKLEY,Lara,Firebirds,WA,1266,13,97.38
95000,KUMWENDA,Mwai,Vixens,GS,1393,14,99.5
90000,AUSTIN,Kiera,Vixens,WA/GA,1260,14,90
90000,BRAZILL,Ash,Magpies,WD/C,1132,12,94.33
90000,HORJUS,Georgie,Thunderbirds,WA/GA,1173,13,90.23
90000,KOENEN,Cara,Lightning,GA/GS,1172,13,90.15
90000,SIMPSON,Gabi,Firebirds,WD,1311,14,93.64
90000,WALLACE,Sam,Swifts,GS,92,1,92
85000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,1245,14,88.93
85000,HADLEY,Paige,Swifts,C/WA,1133,13,87.15
85000,MOLONEY,Kate,Vixens,WD/C,1162,13,89.38
85000,RAVAILLION,Kim,Firebirds,C,1195,14,85.36
85000,TURNER,Maddy,Swifts,GD/WD,1231,14,87.93
85000,WARD,Jodi-Ann,Magpies,GD/WD,1157,13,89
80000,BRANDLEY,April,GIANTS,GD,1138,14,81.29
80000,JOVIC,Molly,Magpies,C,1082,13,83.23
80000,MANNIX,Emily,Vixens,GK,1148,14,82
75000,AIKEN-GEORGE,Romelda,Swifts,GS ,,,
75000,ALLEN,Nyah,Magpies,GA,238,3,79.33
75000,ARYANG,Sunday,Fever,GD/WD,1022,13,78.62
75000,AUSTIN,Lucy,Thunderbirds,GS,231,3,77
75000,CASSIDY,Mahalia,Lightning,WD/C,1102,14,78.71
75000,MCDONELL,Matilda,GIANTS,GK,1104,14,78.86
75000,MENTOR,Geva,Magpies,GK,1004,13,77.23
75000,PETTY,Hannah,Thunderbirds,WD/C,1033,13,79.46
70000,SIMMONS,Verity,Fever,C/WA,921,13,70.85
65000,BATCHELDOR,Reilley,Lightning,GA/GS,852,13,65.54
65000,EDDY,Kate,Vixens,GD/WD,826,12,68.83
65000,SCHERIAN,Laura,Lightning,C/WA,897,13,69
65000,WILLIAMS,Tayla,Thunderbirds,C/WA,816,12,68
60000,ANSTISS,Jess,Fever,WD/C,452,7,64.57
60000,DWAN,Tippah,Thunderbirds,GA,791,13,60.85
60000,GARBIN,Sophie,Magpies,GA/GS,756,12,63
60000,HINCHLIFFE,Maddie,Magpies,WD/C,886,14,63.29
55000,DEHANEY,Kadie-Ann,Lightning,GK,608,11,55.27
55000,GARRETT,Matilda,Thunderbirds,GD,625,11,56.82
55000,SAMASON,Rahni,Vixens,GA/GS,299,5,59.8
50000,MUNDY,Hannah,Vixens,C/WA,486,9,54
50000,NANKIVELL,Maisie,Thunderbirds,C/WA,546,10,54.6
50000,NEWTON,Jacqui,Magpies,GK/GD,600,12,50
45000,FAWNS,Sophie,Swifts,GA/GS,604,13,46.46
45000,LEWIS,Olivia,Vixens,GK,471,10,47.1
45000,SMITH,Allie,Swifts,GD/WD,646,14,46.14
40000,COSH,Emma,Fever,WA/GA,533,12,44.42
40000,FRASER,Tayla,Swifts,WD/C,481,12,40.08
40000,JENNER,Kim,Fever,GK/GD,384,9,42.67
35000,LETHERBARROW,Matisse,GIANTS,GA/GS,119,3,39.67
35000,MOORE,Lauren,GIANTS,GD/WD,376,10,37.6
35000,O'SHANNASSY,Teigan,Swifts,GK/GD,254,7,36.29
35000,STOWER,Mia,Firebirds,GA,309,8,38.63
30000,ELLIS,Rudi,Fever,GK,218,8,27.25
30000,GARDNER,Macy,Firebirds,C/WA,64,2,32
30000,MILLER,Annie,Lightning,C/WA,439,13,33.77
30000,SINGLETON,Kelly,Magpies,GA,483,14,34.5
30000,SLIGAR,Amy,GIANTS,WD/C,210,7,30
30000,UNIE,Ashlee,Firebirds,GD/WD,,,
25000,BELL,Charlie,Lightning,GS ,,,
25000,ERVIN,Ashleigh,Lightning,GK,,,
25000,KAMO,Remi,Firebirds,GK/GD ,,,
25000,MOORE,Emily,Firebirds,GA/GS ,,,
