matchId,squadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80050804,804,1,2,1,0,0,0,11,13,3,2,18,0,7,16,1,15,3,0,1,0,1,14,3,3,0,7,23,91.49171270718232,65.21739130434783,60.86956521739131,4.347826086956516
80050804,804,2,2,2,0,0,1,11,10,2,5,10,0,6,12,1,11,2,0,5,1,0,15,0,3,0,11,22,87.8048780487805,50.0,60.86956521739131,-10.869565217391312
80050804,804,3,1,1,0,0,0,11,12,2,4,18,0,12,18,2,16,3,0,3,1,0,15,1,3,0,8,25,99.33774834437087,64.0,43.47826086956522,20.52173913043478
80050804,804,4,0,2,0,0,0,11,11,2,4,12,0,7,14,2,12,0,0,5,1,0,16,2,3,0,8,21,83.44370860927152,57.14285714285714,64.0,-6.857142857142861
80050804,804,5,0,0,0,0,0,5,6,1,2,5,0,3,9,3,6,1,0,0,1,1,6,1,2,0,3,11,92.7400468384075,54.54545454545454,55.55555555555556,-1.0101010101010175
80050804,804,6,0,2,0,0,0,5,5,1,1,8,0,4,7,2,5,0,0,2,0,1,7,1,1,0,4,11,93.61702127659575,45.45454545454545,40.0,5.454545454545453
80050804,806,1,1,2,0,0,0,15,15,1,2,15,0,9,17,3,14,0,0,3,0,0,18,2,1,0,6,23,91.49171270718232,60.86956521739131,65.21739130434783,-4.347826086956516
80050804,806,2,2,3,0,0,0,12,6,0,2,17,0,11,16,2,14,2,0,4,0,0,10,5,0,0,7,23,91.7960088691796,60.86956521739131,50.0,10.869565217391312
80050804,806,3,1,4,0,0,0,13,15,1,1,12,0,5,12,2,10,3,0,3,0,1,18,4,1,0,11,23,91.3907284768212,43.47826086956522,64.0,-20.52173913043478
80050804,806,4,1,2,0,0,0,14,9,1,2,18,0,9,20,4,16,4,0,4,1,0,13,2,2,0,6,25,99.33774834437087,64.0,57.14285714285714,6.857142857142861
80050804,806,5,1,0,0,0,0,4,5,0,4,5,0,3,6,1,5,1,0,0,0,0,5,2,0,0,3,9,75.87822014051523,55.55555555555556,54.54545454545454,1.0101010101010175
80050804,806,6,1,1,0,0,0,4,5,1,0,4,0,3,5,1,4,1,0,0,0,1,5,1,1,0,5,10,85.1063829787234,40.0,45.45454545454545,-5.454545454545453
