matchId,squadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
116650103,804,69,8,69,8,3,3,0,1,3,50,75,51,0,0,10,10,68,90,12,50,18,64,3,58,77,10,64,3,67,49,6,12,6,7,2,60,381,19,2,70,6,70,20,10,42,37,0,80,12,6.0,93.0,93.0,72.04301075268818,61.458333333333336,10.58467741935484
116650103,807,55,15,55,15,0,3,1,0,5,58,72,69,0,0,8,8,66,79,8,63,19,53,6,56,70,11,53,6,59,47,5,7,7,6,7,18,256,22,2,91,5,65,26,6,51,63,0,58,15,2.0,96.0,96.0,61.458333333333336,72.04301075268818,-10.58467741935484
