matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80120303,802,806,1,0,1,0,0,0,12,10,3,1,16,4,9,17,4,13,1,0,2,0,0,12,4,3,0,4,21,83.72093023255813,61.904761904761905,54.166666666666664,7.738095238095241
80120303,802,806,2,4,3,0,0,1,11,12,4,3,19,6,5,15,5,10,1,0,2,0,0,14,5,4,0,10,25,98.6842105263158,40.0,45.83333333333333,-5.833333333333329
80120303,802,806,3,1,2,0,0,0,9,14,4,1,17,8,7,13,3,10,4,0,6,1,0,20,1,5,0,9,21,83.6283185840708,47.61904761904761,57.14285714285714,-9.523809523809526
80120303,802,806,4,0,1,0,0,0,10,13,1,3,15,7,9,17,5,12,4,0,7,1,0,20,1,2,0,5,21,83.35170893054024,57.14285714285714,56.25,0.8928571428571388
80120303,802,806,5,0,1,0,0,0,5,6,1,1,4,2,2,3,1,2,1,0,5,0,0,11,0,1,0,2,5,42.65402843601896,40.0,63.63636363636363,-23.636363636363633
80120303,802,806,6,0,0,0,0,1,4,8,0,1,7,2,3,8,2,6,1,0,4,1,0,12,4,1,0,2,9,76.41509433962264,66.66666666666666,57.14285714285714,9.523809523809518
80120303,806,802,1,2,2,0,0,0,13,12,2,3,14,2,9,17,4,13,0,0,5,0,0,17,1,2,0,7,24,95.68106312292359,54.166666666666664,61.904761904761905,-7.738095238095241
80120303,806,802,2,1,3,0,0,1,8,9,3,3,15,5,7,18,7,11,1,0,8,1,0,17,4,4,0,7,24,94.73684210526316,45.83333333333333,40.0,5.833333333333329
80120303,806,802,3,1,0,0,0,0,10,13,2,2,16,5,7,18,6,12,3,0,3,2,1,16,1,4,0,5,21,83.6283185840708,57.14285714285714,47.61904761904761,9.523809523809526
80120303,806,802,4,0,1,0,0,0,8,9,4,2,11,5,4,12,3,9,1,0,8,1,0,17,1,5,0,5,16,63.506063947078275,56.25,57.14285714285714,-0.8928571428571388
80120303,806,802,5,1,0,0,0,0,4,2,1,2,10,2,5,9,2,7,0,0,0,0,0,2,2,1,0,2,11,93.8388625592417,63.63636363636363,40.0,23.636363636363633
80120303,806,802,6,1,1,0,0,0,4,4,1,4,4,1,1,4,0,4,0,0,3,0,0,7,0,1,0,3,7,59.43396226415095,57.14285714285714,66.66666666666666,-9.523809523809518
