matchId,squadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
90840603,803,1,0,0,1,0,1,11,9,0,2,19,1,11,17,3,14,0,0,6,0,0,15,4,0,0,4,21,81.64146868250539,66.66666666666666,57.89473684210527,8.77192982456139
90840603,803,2,0,2,0,0,0,9,14,0,5,9,1,3,9,2,7,0,0,4,1,1,18,3,1,0,5,13,38.297872340425535,53.84615384615385,80.0,-26.153846153846153
90840603,803,3,0,1,1,0,0,11,11,0,1,22,2,6,15,3,12,1,0,4,2,0,15,5,2,0,1,14,53.84615384615385,85.71428571428571,83.33333333333334,2.3809523809523654
90840603,803,4,0,0,0,0,0,11,17,0,5,16,1,7,12,0,12,0,0,1,0,2,18,2,0,0,2,14,54.961832061068705,85.71428571428571,85.71428571428571,0.0
90840603,803,5,0,0,0,0,0,5,6,0,0,9,1,3,6,1,5,1,0,3,0,0,9,1,0,0,1,7,56.502242152466366,71.42857142857143,66.66666666666666,4.761904761904773
90840603,803,6,2,0,0,0,0,6,9,0,0,10,2,5,6,0,6,2,0,1,0,0,11,1,0,0,2,8,65.01128668171557,75.0,80.0,-5.0
90840603,809,1,1,2,0,1,0,10,11,0,3,13,3,7,13,2,11,3,0,3,1,1,14,1,1,0,7,19,73.86609071274297,57.89473684210527,66.66666666666666,-8.77192982456139
90840603,809,2,0,1,0,0,1,10,11,0,4,13,3,5,12,0,12,1,0,3,0,0,14,3,0,0,3,15,44.189852700491,80.0,53.84615384615385,26.153846153846153
90840603,809,3,1,0,0,1,0,12,19,0,4,16,1,5,10,0,10,0,0,4,0,3,23,1,0,0,2,12,46.15384615384615,83.33333333333334,85.71428571428571,-2.3809523809523654
90840603,809,4,1,0,0,0,2,11,10,0,4,8,2,7,12,0,12,1,0,5,0,0,15,3,0,0,2,14,54.961832061068705,85.71428571428571,85.71428571428571,0.0
90840603,809,5,0,1,0,0,0,5,9,0,1,3,1,3,4,0,4,1,0,5,0,1,14,0,0,0,2,6,48.4304932735426,66.66666666666666,71.42857142857143,-4.761904761904773
90840603,809,6,0,0,0,0,0,4,7,0,1,3,0,1,4,0,4,0,0,2,0,0,9,0,0,0,1,5,40.63205417607223,80.0,75.0,5.0
