matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offsides,passes,penalties,pickups,possessionChanges,possessions,quartersPlayed,rebounds,tossUpWin
105640102,811,813,991901,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,991905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,991905,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,991905,3,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,1,1,0,5,0,1,3,1,0,0
105640102,811,813,991905,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,0,1,0,0,1,1,0,0
105640102,811,813,993463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,993463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,993463,3,0,1,0,0,0,4,0,0,0,0,9,2,2,0,0,2,2,6,0,6,0,0,15,0,0,1,2,0,0,2,11,1,0,0
105640102,811,813,993463,4,1,0,0,0,0,3,0,0,0,0,9,2,3,1,0,1,2,6,0,6,0,1,15,0,0,1,3,0,0,1,10,1,0,0
105640102,811,813,994213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,994213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,994213,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,994213,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105640102,811,813,994224,1,0,0,0,0,0,0,0,4,1,0,8,5,8,1,0,0,5,0,0,0,0,0,15,0,0,0,8,4,0,0,0,1,0,0
105640102,811,813,994224,2,1,0,0,0,0,0,0,2,0,2,9,7,9,1,0,2,6,0,0,0,0,1,15,0,0,0,9,2,0,2,1,1,0,0
105640102,811,813,994224,3,1,0,0,0,0,0,0,2,0,0,3,2,3,1,0,1,2,0,0,0,0,1,15,0,0,2,3,2,1,1,2,1,0,0
105640102,811,813,994224,4,0,0,0,0,0,0,0,1,0,0,6,5,6,0,0,1,5,0,0,0,0,0,15,0,0,0,6,1,0,1,0,1,0,0
105640102,813,811,80099,1,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,2,1,0,0
105640102,813,811,80099,2,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,3,1,0,2,1,0,0
105640102,813,811,80099,3,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,2,1,0,3,1,0,0
105640102,813,811,80099,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,1,0,0
105640102,813,811,80100,1,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,1,2,6,1,5,0,0,15,1,0,0,2,0,0,2,6,1,0,0
105640102,813,811,80100,2,1,0,0,0,0,0,0,0,0,0,12,1,1,0,0,2,1,11,1,10,1,0,15,1,0,0,1,0,1,3,12,1,0,0
105640102,813,811,80100,3,0,0,0,0,0,0,0,1,0,0,13,2,2,0,0,1,1,11,2,9,1,0,15,1,0,0,2,1,0,2,11,1,0,0
105640102,813,811,80100,4,1,0,0,0,0,0,0,1,0,0,11,1,1,0,0,2,1,10,2,8,0,0,15,1,0,0,1,1,0,3,11,1,1,0
105640102,813,811,80105,1,0,1,0,0,0,0,0,1,0,0,8,5,8,0,0,1,3,0,0,0,0,0,15,0,0,0,8,1,1,1,2,1,0,0
105640102,813,811,80105,2,0,0,0,0,0,0,0,1,0,0,7,5,7,0,0,0,4,0,0,0,0,0,15,0,0,0,7,1,3,0,4,1,0,0
105640102,813,811,80105,3,0,0,0,0,0,0,0,1,0,0,8,7,8,0,0,1,6,0,0,0,1,0,15,0,0,1,8,1,1,1,1,1,0,0
