matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,points,possessionChanges,possessions,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,offensiveRebounds,pacePer60,offensiveRating,defensiveRating,netRating
113150102,811,813,1.0,4.0,0.0,0.0,2.0,38.0,67.0,38.0,10.0,10.0,20.0,149.0,55.0,71.0,15.0,33.0,19.0,37.0,64.0,19.0,45.0,28.0,5.0,12.0,2.0,2.0,0.0,26.0,377.5,11.0,0.0,71.0,49.0,19.0,45.0,28.0,87.0,8.0,53.0,0.0,36.0,5.0,87.0,51.724137931034484,46.15384615384615,5.570291777188331
113150102,813,811,3.0,5.0,0.0,0.0,1.0,38.0,48.0,51.0,5.0,5.0,16.0,122.0,39.0,60.0,15.0,53.0,29.0,31.0,45.0,9.0,36.0,20.0,8.0,8.0,2.0,2.0,0.0,0.0,263.0,6.0,2.0,60.0,58.0,16.0,36.0,33.0,78.0,8.0,47.0,0.0,29.0,0.0,78.0,46.15384615384615,51.724137931034484,-5.570291777188331
