matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
93150102,811,813,3,9,0,0,0,42,37,2,12,59,16,34,57,8,49,11,0,8,3,3,45,17,5,0,27,81,79.7374897456932,60.49382716049383,57.14285714285714,3.3509700176366906
93150102,813,811,3,11,0,0,0,44,31,3,22,62,10,27,49,9,40,5,0,13,4,6,44,16,7,0,25,70,68.90894175553733,57.14285714285714,60.49382716049383,-3.3509700176366906
