price,surname,firstName,team,position,playerId
150000,STERLING,Shamera,Thunderbirds,GK,80830
105000,KOENEN,Cara,Lightning,GA/GS,1001357
105000,WARD,Jodi-Ann,Magpies,GD/WD,1011747
100000,KUMWENDA,Mwai,Vixens,GA/GS,80540
100000,WESTON,Jo,Vixens,GD/WD,80577
85000,WILLIAMS,Tayla,Thunderbirds,C/WA,1020223
55000,KAMO,Remi,Firebirds,GK/GD,1029513
40000,MILLER,Annie,Lightning,C/WA,1022293
115000,WATSON,Liz,Vixens,C/WA,994224
25000,BELL,Charlie,Lightning,GS,1025019
