matchId,squadId,period,attempt_from_zone1,attempt_from_zone2,attempts1,attempts2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
113911101,804,1,15.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,64.0,12.0,1.0,1.0,2.0,3.0,16.0,24.0,2.0,100.0,5.0,12.0,0.0,12.0,16.0,4.0,12.0,0.0,12.0,7.0,2.0,3.0,1.0,0.0,3.0,0.0,37.0,2.0,0.0,14.0,3.0,12.0,8.0,1.0,60.0,0.0,43.0,1.0,0.0,25.0,100.0,48.0,45.45454545454545,2.5454545454545467
113911101,804,2,12.0,2.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,12.0,67.0,18.0,2.0,2.0,2.0,4.0,13.0,17.0,5.0,60.0,10.0,12.0,0.0,11.0,14.0,2.0,12.0,0.0,12.0,8.0,3.0,1.0,3.0,3.0,1.0,50.0,61.5,4.0,0.0,22.0,5.0,12.0,11.0,1.0,52.0,0.0,17.0,6.0,1.0,24.0,96.0,50.0,50.0,0.0
113911101,804,3,12.0,1.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,60.0,16.0,0.0,0.0,2.0,2.0,13.0,21.0,2.0,50.0,7.0,12.0,1.0,13.0,13.0,0.0,12.0,1.0,13.0,9.0,1.0,3.0,1.0,1.0,0.0,0.0,48.0,2.0,0.0,18.0,1.0,14.0,7.0,0.0,50.0,0.0,100.0,2.0,0.0,20.0,80.0,65.0,73.91304347826086,-8.91304347826086
113911101,804,4,12.0,3.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,50.0,14.0,3.0,3.0,4.0,7.0,14.0,20.0,7.0,29.0,7.0,8.0,1.0,9.0,15.0,6.0,8.0,1.0,9.0,6.0,2.0,1.0,2.0,4.0,5.0,0.0,67.0,3.0,0.0,17.0,5.0,10.0,12.0,0.0,47.0,0.0,25.0,5.0,0.0,28.0,112.0,32.142857142857146,54.166666666666664,-22.02380952380952
113911101,8119,1,10.0,2.0,10.0,2.0,2.0,3.0,0.0,0.0,1.0,10.0,58.0,14.0,3.0,3.0,9.0,12.0,8.0,14.0,7.0,43.0,8.0,9.0,1.0,7.0,12.0,2.0,9.0,1.0,10.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,90.5,2.0,1.0,16.0,4.0,11.0,9.0,3.0,40.0,0.0,0.0,7.0,0.0,22.0,88.0,45.45454545454545,48.0,-2.5454545454545467
113911101,8119,2,11.0,0.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,58.0,8.0,1.0,1.0,4.0,5.0,8.0,14.0,5.0,60.0,11.0,11.0,0.0,8.0,11.0,0.0,11.0,0.0,11.0,7.0,3.0,1.0,3.0,3.0,0.0,0.0,42.5,1.0,0.0,9.0,3.0,11.0,11.0,1.0,48.0,0.0,17.0,6.0,0.0,22.0,88.0,50.0,50.0,0.0
113911101,8119,3,17.0,1.0,17.0,1.0,0.0,1.0,1.0,0.0,1.0,14.0,80.0,17.0,4.0,4.0,2.0,6.0,18.0,21.0,5.0,80.0,4.0,17.0,0.0,17.0,18.0,1.0,17.0,0.0,17.0,12.0,4.0,1.0,1.0,1.0,0.0,0.0,146.5,1.0,1.0,18.0,5.0,17.0,4.0,0.0,50.0,0.0,50.0,3.0,0.0,23.0,92.0,73.91304347826086,65.0,8.91304347826086
113911101,8119,4,13.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,73.0,11.0,4.0,4.0,2.0,6.0,13.0,22.0,8.0,63.0,11.0,13.0,0.0,13.0,13.0,0.0,13.0,0.0,13.0,8.0,5.0,0.0,4.0,2.0,0.0,0.0,82.0,1.0,0.0,12.0,6.0,13.0,11.0,2.0,53.0,0.0,0.0,4.0,0.0,24.0,96.0,54.166666666666664,32.142857142857146,22.02380952380952
