matchId,squadId,oppSquadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,lastCentrePass,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,timeToScore,timeout,tossUpWin,turnoverHeld,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
127150503,8117,8118,78,7,78,7,0,2,2,0,3,56,80,35,7,7,10,17,76,104,16,63,18,70,2,64,85,13,70,2,72,49,10,13,6,4,Q4 12:54,5,38,514.5,9,2,44,14,74,23,12,49,57,29,2,0,0,76,12,4.94,103.06,103.06,69.86221618474676,53.32148411464118,16.540732070105577
127150503,8118,8117,47,12,47,12,0,5,0,2,1,50,52,42,2,2,14,16,53,82,13,69,25,40,8,44,59,11,40,8,48,32,9,7,4,6,Q4 13:46,8,18,277,13,2,55,7,56,33,6,43,43,31,3,0,1,58,17,1.98,90.02000000000001,90.02000000000001,53.32148411464118,69.86221618474676,-16.540732070105577
