matchId,squadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,timeInPossession,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
95631405,804,4,3,0,0,1,38,59,5,11,59,9,33,64,8,56,40,7,8,4,0,8,4,0,67,9,9,48,0,14,74,70.92651757188499,75.67567567567568,57.14285714285714,18.53281853281854
95631405,805,4,2,0,0,1,46,66,0,12,62,7,24,68,20,48,36,3,9,7,0,10,5,2,76,4,5,52,0,21,84,80.5111821086262,57.14285714285714,75.67567567567568,-18.53281853281854
