matchId,squadId,GS,GA,WA,C,WD,GD,GK,startingTime,finishTime,teamStartScore,teamEndScore,oppStartScore,oppEndScore,duration,plusMinus,plusMinusPer60
98180202,801,80295,80067,80572,999806,80146,80440,998404,0.0,691.0,0,9,0,12,691.0,-3,-15.629522431259044
98180202,801,80295,80067,80572,80439,80146,80440,998404,691.0,1211.0,9,15,12,21,520.0,-3,-20.76923076923077
98180202,801,80295,80067,80572,80439,80146,80440,991899,1211.0,1260.0,15,15,21,23,49.0,-2,-146.9387755102041
98180202,801,80295,80449,80572,80439,80146,80440,991899,1260.0,1303.0,15,15,23,24,43.0,-1,-83.72093023255813
98180202,801,80295,80067,80572,80439,80146,80440,991899,1303.0,1827.0,15,20,24,34,524.0,-5,-34.35114503816794
98180202,801,80295,80067,80001,80439,80146,80440,991899,1827.0,2103.0,20,25,34,39,276.0,0,0.0
98180202,801,80295,80067,80001,80439,80146,998404,991899,2103.0,3377.0,25,41,39,57,1274.0,-2,-5.65149136577708
98180202,801,80295,80067,80001,80439,80146,80440,998404,3377.0,3639.0,41,44,57,59,262.0,1,13.740458015267176
98180202,804,80570,994215,994224,80041,991901,80577,80010,0.0,913.0,0,15,0,11,913.0,4,15.772179627601314
98180202,804,80570,994215,80041,994224,991901,80577,80010,913.0,2336.0,15,42,11,29,1423.0,9,22.768798313422348
98180202,804,80570,994215,80041,994224,991901,994226,80010,2336.0,2738.0,42,45,29,36,402.0,-4,-35.82089552238806
98180202,804,80570,994215,80041,80575,991901,80577,80010,2738.0,3377.0,45,57,36,41,639.0,7,39.436619718309856
98180202,804,80298,994215,80041,80575,991901,80577,80010,3377.0,3639.0,57,59,41,44,262.0,-1,-13.740458015267176
