matchId,squadId,GS,GA,WA,C,WD,GD,GK,startingTime,finishTime,teamStartScore,teamEndScore,oppStartScore,oppEndScore,duration,plusMinus,plusMinusPer60
80121305,807,80078,80009,80296,80081,80076,80180,80080,0,3629,0,75,0,32,3629,43,42.656379167814826
80121305,802,80022,80028,80018,80021,80035,80026,80023,0,909,0,8,0,20,909,-12,-47.524752475247524
80121305,802,80028,80158,80018,80021,80035,80026,80292,909,1290,8,9,20,28,381,-7,-66.14173228346458
80121305,802,80028,80158,80018,80021,80035,80023,80292,1290,1819,9,15,28,37,529,-3,-20.415879017013232
80121305,802,80028,80158,80221,80018,80021,80023,80292,1819,2946,15,24,37,59,1127,-13,-41.52617568766637
80121305,802,80022,80028,80221,80018,80021,80023,80292,2946,3629,24,32,59,75,683,-8,-42.16691068814056
