matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
93550101,837,7522,2,3,0,0,1,24,33,2,6,50,16,10,32,4,28,11,0,13,1,3,46,6,3,0,15,46,67.23507917174179,60.86956521739131,66.66666666666666,-5.797101449275345
93550101,7522,837,3,2,0,0,0,25,41,0,5,42,11,18,36,8,28,10,0,24,5,2,66,2,5,0,11,42,61.388550548112065,66.66666666666666,60.86956521739131,5.797101449275345
