attempt1,attempt2,goal1,goal2,goalMisses,goalAssists,feeds,feedWithAttempt,centrePassReceives,gain,intercepts,deflections,deflectionWithGain,deflectionWithNoGain,rebounds,pickups,contactPenalties,obstructionPenalties,generalPlayTurnovers,interceptPassThrown,badHands,badPasses,offsides,minutesPlayed,roundNo,squadId,oppSquadId,fantasyScore,matchId,playerId,netPoints
3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.716666666666669,1.0,807.0,801.0,23.0,120450104.0,1029501.0,12.5
6.0,5.0,4.0,2.0,5.0,7.0,8.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,2.0,807.0,8117.0,61.0,120450201.0,1029501.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,807.0,806.0,0.0,120450301.0,1029501.0,0.0
1.0,2.0,0.0,1.0,2.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.683333333333334,4.0,807.0,8119.0,26.0,120450402.0,1029501.0,16.0
3.0,2.0,3.0,1.0,1.0,13.0,15.0,14.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,30.0,5.0,807.0,810.0,79.0,120450503.0,1029501.0,43.0
5.0,3.0,5.0,2.0,1.0,6.0,7.0,6.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,30.0,6.0,807.0,8118.0,84.0,120450602.0,1029501.0,48.5
2.0,1.0,1.0,0.0,2.0,18.0,22.0,20.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,2.0,0.0,36.16666666666666,7.0,807.0,804.0,83.0,120450701.0,1029501.0,10.5
7.0,2.0,5.0,1.0,3.0,19.0,22.0,20.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,60.0,8.0,807.0,8119.0,128.0,120450801.0,1029501.0,84.5
13.0,1.0,10.0,1.0,3.0,9.0,12.0,10.0,12.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,1.0,9.0,3.0,2.0,1.0,0.0,58.5,9.0,807.0,801.0,65.0,120450901.0,1029501.0,1.0
5.905871467306254,1.8229341474089829,4.335114833116781,0.803393784664143,2.1478994302158503,9.12382800596532,11.914776921592917,10.490488108181724,10.249098784492933,0.0923631726324211,0.07814518110623175,0.34053687784569026,0.0,0.3133719732349594,0.31459315725725845,1.0403961364964402,1.3668604708317107,0.11951388932641964,3.4571447472484502,0.6474680225629618,0.47707341518416435,0.3363330876467185,0.0,37.71873889906794,10.0,807.0,810.0,58.8251749445069,,,
5.307930460589469,1.0091804700191707,3.9196859271074347,0.3157397892708062,1.4158186146409577,10.008184674906271,12.049739587801119,10.860995090062657,8.855015749106592,0.08862883542538354,0.040310726841467304,0.30923366057099666,0.0,0.2402244101833841,0.39362982003030283,1.0327201646530908,1.1871188471847456,0.05769657961038376,3.367990170029597,0.5436825094580713,0.23873948598848604,0.3541749577825344,0.0,36.83694103096754,11.0,807.0,8118.0,61.99521631585927,,,
4.762457676103024,1.1270566845471424,3.548250914803066,0.37183871597228996,1.2676113360323886,8.453214207094556,10.462030699025098,9.17069942004668,8.232807275360466,0.03961259571015669,0.016992825365803484,0.2828305049235281,0.0,0.23424270665649974,0.21147847208522386,0.8709733781251583,1.169434996118363,0.046562287497166635,2.84730595980596,0.4348032242769085,0.2539864864864865,0.14993010251630942,0.0,35.74080198373711,12.0,807.0,804.0,56.73999524416888,,,
4.88012987189169,0.852750604875212,3.5936363928512605,0.2859087814840027,1.1048476869665995,8.411230648284384,9.712847662275893,9.0832083359449,8.125156960057401,0.0375217813855316,0.017767782803876295,0.2546164030381158,0.0,0.2090285215038611,0.2571844766467671,0.926059618071728,0.8453312947956636,0.022894716669363838,2.8828983451408647,0.3889028806655839,0.18864207796321594,0.15161212014212258,0.0,34.93983754302303,13.0,807.0,806.0,57.39966874873816,,,
4.931428523223835,0.9358182088587795,3.522391783120054,0.23999994482728182,1.3056713416349885,8.801379042507834,10.680369931246947,9.735796353566293,7.73476758465172,0.030558789289871942,0.016387036957826066,0.13850283426042637,0.0,0.09924438010387089,0.14022382820838403,0.7210336231404787,0.7545996589185915,0.011881473302689533,2.139138533178114,0.2250453474835531,0.10882363080447943,0.072657124591363,0.0,33.57173258052892,14.0,807.0,8117.0,58.51602549522683,,,
