matchId,squadId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedGoalTurnover,missedShotConversion,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,rebounds,secondPhaseReceive,timeInPossession,tossUpWin,turnoverHeld,turnoverToGoalPerc,unforcedTurnovers,offensiveRebounds,possessions,pacePer60,offensiveRating,defensiveRating,netRating
116650702,801,41,12,41,12,4,0,0,0,1,47,58,43,1,1,15,16,50,79,10,80,23,37,7,43,53,9,37,7,44,30,8,6,2,8,8,0,221,16,1,59,6,51,31,1,40,49,0,3,55,20,0.0,85.0,85.0,51.76470588235295,66.66666666666666,-14.901960784313708
116650702,810,61,3,61,3,0,2,0,0,1,45,71,51,4,4,12,16,60,89,13,54,21,56,2,55,64,6,56,2,58,37,7,14,10,4,2,33,362,17,2,68,12,60,23,7,38,51,0,1,70,11,2.0,87.0,87.0,66.66666666666666,51.76470588235295,14.901960784313708
