matchId,squadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,disposals,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,obstructionPenalties,offensiveRebounds,offsides,passes,penalties,pickups,possessions,rebounds,timeInPossession,tossUpWin,turnovers,pacePer60,offensiveRating,defensiveRating,netRating
100830301,807,1,1,1,0,0,0,11,5,1,3,64,27,2,9,23,5,18,11,2,5,1,4,1,0,38,9,4,27,2,64,0,5,107.16648291069458,66.66666666666666,50.0,16.666666666666657
100830301,807,2,4,0,0,0,0,9,5,0,3,52,22,5,9,20,4,16,10,3,3,2,3,2,0,31,8,4,24,2,61,0,6,93.81107491856677,66.66666666666666,45.0,21.666666666666657
100830301,807,3,1,1,2,0,0,13,12,0,2,54,22,1,10,16,3,13,8,1,4,1,4,0,1,35,16,1,25,0,52,0,9,95.84664536741214,52.0,68.18181818181817,-16.181818181818173
100830301,807,4,4,0,0,0,0,14,10,3,1,46,15,4,6,16,3,13,9,1,3,0,10,1,0,29,20,3,23,4,49,0,8,89.90228013029316,56.52173913043478,56.00000000000001,0.5217391304347743
100830301,810,1,2,0,0,0,0,13,24,2,3,42,15,3,4,11,2,9,8,1,0,1,2,1,0,28,26,1,18,3,36,0,8,71.44432194046306,50.0,66.66666666666666,-16.666666666666657
100830301,810,2,2,0,0,0,0,13,22,0,0,42,14,2,7,12,3,9,7,1,1,2,5,2,0,27,27,1,20,2,39,0,10,78.17589576547232,45.0,66.66666666666666,-21.666666666666657
100830301,810,3,1,1,0,1,1,11,16,0,2,46,16,1,10,16,1,15,10,0,5,1,4,1,0,27,20,1,22,1,48,0,7,84.34504792332268,68.18181818181817,52.0,16.181818181818173
100830301,810,4,2,0,0,0,0,12,12,1,1,57,23,3,7,19,5,14,10,2,2,2,3,0,0,35,15,0,25,1,51,0,6,97.71986970684038,56.00000000000001,56.52173913043478,-0.5217391304347743
