matchId,squadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,timeInPossession,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
95640102,808,1,1,4,0,0,1,13,6,0,3,16,0,10,17,3,14,0,0,0,0,6,1,0,12,2,1,51,0,5,21,82.98572996706915,66.66666666666666,75.0,-8.333333333333343
95640102,808,2,0,1,0,0,1,13,13,1,3,16,1,10,16,2,14,0,0,0,0,2,0,1,15,3,1,0,0,7,23,89.80477223427332,60.86956521739131,62.5,-1.6304347826086882
95640102,808,3,1,0,0,0,0,12,8,0,3,29,2,14,21,3,18,0,0,0,2,3,1,0,12,1,1,0,0,2,22,86.18063112078346,81.81818181818183,66.66666666666666,15.15151515151517
95640102,808,4,1,1,0,0,0,15,13,0,4,20,0,10,15,3,12,0,0,0,0,6,1,0,19,1,1,0,0,5,19,73.23340471092078,63.1578947368421,85.71428571428571,-22.556390977443606
95640102,808,5,0,0,0,0,0,6,9,0,0,7,1,4,7,2,5,0,0,0,1,1,1,0,10,0,1,0,0,1,7,58.06451612903226,71.42857142857143,83.33333333333334,-11.904761904761912
95640102,808,6,1,0,0,0,1,7,4,0,3,8,0,2,7,1,6,0,0,0,0,1,0,0,5,0,0,0,0,1,8,66.3594470046083,75.0,100.0,-25.0
95640102,809,1,3,1,0,0,2,12,11,0,3,19,1,9,15,0,15,0,0,0,1,3,0,0,14,3,0,49,0,5,20,79.03402854006586,75.0,66.66666666666666,8.333333333333343
95640102,809,2,0,1,0,0,0,11,18,0,4,22,0,11,18,3,15,0,0,0,0,3,1,0,22,3,1,0,0,7,24,93.70932754880694,62.5,60.86956521739131,1.6304347826086882
95640102,809,3,1,2,0,0,0,12,13,0,7,12,1,5,11,1,10,0,0,0,1,6,1,0,19,4,1,0,0,5,15,58.759521218715996,66.66666666666666,81.81818181818183,-15.15151515151517
95640102,809,4,0,0,0,0,0,14,5,0,4,27,0,13,21,3,18,0,0,0,0,4,2,0,9,3,2,0,0,2,21,80.94218415417559,85.71428571428571,63.1578947368421,22.556390977443606
95640102,809,5,0,0,0,0,0,5,5,0,2,5,1,2,6,1,5,0,0,0,1,3,1,1,8,1,1,0,0,1,6,49.76958525345623,83.33333333333334,71.42857142857143,11.904761904761912
95640102,809,6,0,0,0,0,0,7,5,0,2,9,0,5,9,1,8,0,0,0,0,2,1,0,7,1,1,0,0,0,8,66.3594470046083,100.0,75.0,25.0
