matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
93550109,837,7523,1,1,1,0,0,0,5,3,0,3,15,3,3,10,3,7,3,0,5,1,0,8,3,1,0,5,14,82.75862068965517,50.0,50.0,0.0
93550109,837,7523,2,1,1,0,0,0,10,10,0,1,14,1,9,12,1,11,1,0,2,0,0,12,0,0,0,5,17,100.82372322899505,64.70588235294117,53.84615384615385,10.859728506787327
93550109,837,7523,3,1,0,0,0,0,8,5,1,4,14,2,8,11,0,11,1,0,5,0,1,10,1,1,0,3,14,83.5820895522388,78.57142857142857,42.857142857142854,35.714285714285715
93550109,837,7523,4,0,0,0,0,1,9,7,0,1,14,1,9,14,1,13,1,0,3,1,0,10,3,1,0,3,16,26.039783001808317,81.25,73.33333333333333,7.916666666666671
93550109,7523,837,1,3,0,0,0,0,6,6,2,1,10,5,3,9,3,6,3,0,2,2,0,8,1,4,0,5,12,70.93596059113301,50.0,50.0,0.0
93550109,7523,837,2,1,0,0,0,1,6,4,0,0,9,0,3,8,1,7,0,0,6,1,0,10,0,1,0,6,13,77.1004942339374,53.84615384615385,64.70588235294117,-10.859728506787327
93550109,7523,837,3,0,1,0,0,0,8,2,0,0,14,1,4,10,4,6,1,0,5,0,0,7,1,0,0,4,14,83.5820895522388,42.857142857142854,78.57142857142857,-35.714285714285715
93550109,7523,837,4,0,2,0,0,0,9,6,0,1,16,1,9,12,1,11,1,0,2,0,0,8,1,0,0,3,15,24.412296564195298,73.33333333333333,81.25,-7.916666666666671
