matchId,squadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80351401,804,3,5,1,1,0,54,41,4,18,88,19,35,84,15,69,10,0,11,6,1,52,20,10,0,17,95,94.57964601769912,72.63157894736842,57.35294117647059,15.278637770897838
80351401,810,3,6,1,1,0,49,59,4,20,46,10,21,54,15,39,5,0,18,4,2,77,10,8,0,18,68,67.69911504424779,57.35294117647059,72.63157894736842,-15.278637770897838
