matchId,squadId,oppSquadId,playerId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,quartersPlayed,rebounds,secondPhaseReceive,tossUpWin,turnoverHeld,unforcedTurnovers,reboundsPer60,turnoverHeldPer60,centrePassToGoalPercPer60,penaltiesPer60,deflectionWithNoGainPer60,generalPlayTurnoversPer60,interceptPassThrownPer60,gainPer60,pointsPer60,goalMissesPer60,blockedPer60,deflectionWithGainPer60,goalAssistsPer60,tossUpWinPer60,centrePassReceivesPer60,obstructionPenaltiesPer60,feedsPer60,goalsPer60,offsidesPer60,secondPhaseReceivePer60,badPassesPer60,breaksPer60,blocksPer60,badHandsPer60,missedGoalTurnoverPer60,deflectionPossessionGainPer60,possessionChangesPer60,goalAttemptsPer60,contactPenaltiesPer60,quartersPlayedPer60,minutesPlayedPer60,feedWithAttemptPer60,unforcedTurnoversPer60,pickupsPer60,gainToGoalPercPer60,interceptsPer60,plusMinus,plusMinusPer60
119950102,9490,9491,1030094,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,3,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0
119950102,9490,9491,1030096,2,2,0,0,0,27,0,1,0,0,0,16,20,0,0,5,16,28,7,21,1,0,60.0,3,1,0,2,2,21,8,4,0,6,0,0,4,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,21.0,7.0,0.0,0.0,16.0,0.0,27.0,1.0,20.0,21.0,0.0,6.0,2.0,0.0,0.0,2.0,3.0,0.0,8.0,28.0,1.0,4.0,60.0,16.0,4.0,2.0,0.0,0.0,4.0,4.0
119950102,9490,9491,1030098,0,0,0,0,1,2,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,45.0,0,1,0,6,0,0,0,3,0,1,0,0,0,0.0,0.0,0.0,8.0,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666666,4.0,60.0,0.0,0.0,0.0,0.0,1.3333333333333333,5.0,6.666666666666666
119950102,9490,9491,1030099,0,0,0,0,0,0,0,7,0,0,6,0,0,2,0,0,0,0,0,0,0,2,60.0,0,1,0,8,1,0,0,4,0,4,0,0,0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,60.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0
119950102,9490,9491,1030100,0,0,0,0,0,0,0,7,0,0,1,19,34,1,0,1,17,0,0,0,1,1,45.0,0,0,1,7,3,0,1,3,0,8,0,0,0,0.0,0.0,0.0,9.333333333333332,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,22.666666666666664,0.0,0.0,0.0,45.33333333333333,0.0,1.3333333333333333,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,9.333333333333332,4.0,60.0,25.333333333333332,0.0,4.0,0.0,1.3333333333333333,5.0,6.666666666666666
119950102,9490,9491,1030101,0,0,0,0,0,3,0,5,0,0,1,0,0,2,0,1,0,0,0,0,0,2,45.0,0,0,1,5,0,0,1,3,0,3,0,0,1,0.0,0.0,0.0,6.666666666666666,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.3333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,6.666666666666666,4.0,60.0,0.0,1.3333333333333333,0.0,0.0,2.6666666666666665,5.0,6.666666666666666
119950102,9490,9491,1030102,1,0,0,0,0,6,0,3,0,0,0,6,14,0,0,2,6,0,0,0,0,0,15.0,0,0,0,3,1,0,2,1,0,1,0,0,2,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,56.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,12.0,4.0,60.0,24.0,8.0,4.0,0.0,0.0,-1.0,-4.0
119950102,9490,9491,1030103,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,3,0,41,1,40,1,1,60.0,0,2,0,3,2,40,3,4,2,12,0,0,2,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,1.0,4.0,60.0,0.0,2.0,2.0,0.0,1.0,4.0,4.0
119950102,9490,9491,1030104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119950102,9490,9491,1030105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
