matchId,squadId,oppSquadId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,disposals,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,passes,penalties,pickups,possessions,rebounds,timeInPossession,tossUpWin,turnovers,pacePer60,offensiveRating,defensiveRating,netRating
98181402,806,808,2,1,0,0,0,56,41,1,13,214,90,5,37,63,4,59,48,3,8,4,0,17,1,1,146,58,4,74,2,51,0,12,73.00630309673882,79.72972972972973,75.64102564102564,4.088704088704091
98181402,808,806,3,1,0,0,1,56,46,3,4,211,84,11,44,64,5,59,42,10,7,8,0,24,2,3,140,70,5,78,5,49,0,16,76.9525897506166,75.64102564102564,79.72972972972973,-4.088704088704091
