matchId,squadId,oppSquadId,playerId,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,quartersPlayed,rebounds,secondPhaseReceive,tossUpWin,turnoverHeld,unforcedTurnovers,reboundsPer60,turnoverHeldPer60,netPointsPer60,centrePassToGoalPercPer60,penaltiesPer60,deflectionWithNoGainPer60,generalPlayTurnoversPer60,interceptPassThrownPer60,gainPer60,pointsPer60,goalMissesPer60,blockedPer60,deflectionWithGainPer60,goalAssistsPer60,tossUpWinPer60,centrePassReceivesPer60,obstructionPenaltiesPer60,feedsPer60,goalsPer60,offsidesPer60,secondPhaseReceivePer60,badPassesPer60,breaksPer60,blocksPer60,badHandsPer60,missedGoalTurnoverPer60,deflectionPossessionGainPer60,possessionChangesPer60,goalAttemptsPer60,contactPenaltiesPer60,quartersPlayedPer60,minutesPlayedPer60,feedWithAttemptPer60,unforcedTurnoversPer60,pickupsPer60,gainToGoalPercPer60,interceptsPer60,plusMinus,plusMinusPer60
119460102,813,811,80304,0.0,1.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,49.06666666666667,0.0,38.0,2.0,1.0,6.0,1.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,46.46739130434783,0.0,7.336956521739131,1.2228260869565217,1.2228260869565217,0.0,1.2228260869565217,0.0,0.0,0.0,0.0,0.0,0.0,18.342391304347824,2.4456521739130435,0.0,0.0,1.2228260869565217,7.336956521739131,1.2228260869565217,0.0,0.0,0.0,0.0,0.0,1.2228260869565217,0.0,4.891304347826087,4.891304347826087,60.00000000000001,0.0,1.2228260869565217,1.2228260869565217,0.0,1.2228260869565217,6.0,7.336956521739131
119460102,813,811,80305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0
119460102,813,811,80444,1.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,10.0,12.0,1.0,0.0,6.0,10.0,19.0,4.0,15.0,0.0,1.0,60.0,2.0,31.0,0.0,0.0,1.0,1.0,15.0,8.0,4.0,0.0,5.0,0.0,3.0,6.0,0.0,3.0,31.0,0.0,1.0,1.0,6.0,0.0,1.0,15.0,4.0,0.0,0.0,10.0,0.0,15.0,0.0,12.0,15.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,8.0,19.0,1.0,4.0,60.0,10.0,6.0,1.0,0.0,1.0,4.0,4.0
119460102,813,811,80581,0.0,1.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,28.0,36.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,76.0,1.0,0.0,5.0,1.0,0.0,3.0,4.0,0.0,18.0,0.0,1.0,2.0,0.0,1.0,76.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,11.0,1.0,36.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,60.0,28.0,2.0,1.0,0.0,0.0,4.0,4.0
119460102,813,811,80582,1.0,1.0,0.0,0.0,1.0,4.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,0.0,23.5,6.0,0.0,17.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,23.5,0.0,17.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,11.0,4.0,60.0,0.0,2.0,1.0,0.0,2.0,4.0,4.0
119460102,813,811,80640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119460102,813,811,80710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119460102,813,811,80776,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,20.5,0.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,8.78048780487805,0.0,8.78048780487805,0.0,8.78048780487805,5.853658536585366,0.0,0.0,0.0,0.0,0.0,8.78048780487805,0.0,0.0,2.926829268292683,8.78048780487805,0.0,0.0,20.48780487804878,2.926829268292683,0.0,0.0,0.0,0.0,0.0,8.78048780487805,0.0,5.853658536585366,5.853658536585366,60.0,8.78048780487805,2.926829268292683,2.926829268292683,0.0,0.0,-3.0,-8.78048780487805
119460102,813,811,993041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,23.5,6.0,0.0,13.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,31.333333333333332,0.0,17.333333333333332,1.3333333333333333,0.0,0.0,4.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,9.333333333333332,4.0,60.0,0.0,0.0,0.0,0.0,0.0,5.0,6.666666666666666
119460102,813,811,1006758,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,11.0,14.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,50.43333333333333,0.0,48.0,1.0,1.0,6.0,1.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,57.10508922670192,0.0,7.13813615333774,0.0,1.1896893588896233,0.0,0.0,0.0,0.0,0.0,0.0,9.517514871116987,0.0,1.1896893588896233,1.1896893588896233,16.655651024454727,0.0,1.1896893588896233,5.948446794448117,0.0,0.0,0.0,1.1896893588896233,0.0,0.0,1.1896893588896233,0.0,5.948446794448117,4.758757435558493,60.0,13.086582947785857,1.1896893588896233,1.1896893588896233,0.0,0.0,5.0,5.948446794448117
119460102,813,811,1014724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,37.0,0.0,37.0,1.0,1.0,60.0,0.0,58.0,1.0,0.0,3.0,0.0,37.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,58.0,0.0,3.0,1.0,4.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.0,2.0,4.0,60.0,0.0,3.0,0.0,0.0,1.0,4.0,4.0
