matchId,squadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,disposals,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,missedShotConversion,netPoints,obstructionPenalties,offsides,passes,penalties,pickups,possessionChanges,possessions,rebounds,timeInPossession,tossUpWin,turnoverToGoalPerc,offensiveRebounds,pacePer60,offensiveRating,defensiveRating,netRating
107241402,806,1,1.0,0.0,0.0,0.0,0.0,14.0,88.0,18.0,0.0,0.0,3.0,45.0,17.0,20.0,3.0,67.0,4.0,17.0,18.0,0.0,18.0,14.0,2.0,2.0,1.0,3.0,0.0,92.0,2.0,1.0,20.0,20.0,0.0,4.0,22.0,0.0,52.0,0.0,33.0,0.0,88.0,81.81818181818183,63.63636363636363,18.181818181818194
107241402,806,2,1.0,0.0,0.0,0.0,1.0,14.0,63.0,16.0,2.0,2.0,4.0,33.0,14.0,18.0,2.0,100.0,6.0,12.0,14.0,2.0,12.0,10.0,2.0,0.0,2.0,0.0,0.0,83.5,4.0,1.0,18.0,21.0,6.0,7.0,22.0,0.0,42.0,0.0,0.0,0.0,88.0,54.54545454545454,73.07692307692307,-18.531468531468526
107241402,806,3,0.0,0.0,0.0,0.0,0.0,13.0,88.0,13.0,1.0,1.0,3.0,52.0,18.0,27.0,2.0,100.0,2.0,17.0,20.0,1.0,19.0,15.0,2.0,2.0,0.0,0.0,100.0,127.0,4.0,1.0,27.0,17.0,1.0,2.0,21.0,2.0,56.0,0.0,33.0,1.0,83.81374722838137,90.47619047619048,71.42857142857143,19.04761904761905
107241402,806,4,2.0,0.0,0.0,0.0,0.0,12.0,75.0,9.0,0.0,0.0,3.0,42.0,14.0,24.0,0.0,0.0,3.0,13.0,16.0,1.0,15.0,12.0,0.0,3.0,1.0,0.0,100.0,81.5,1.0,0.0,24.0,10.0,3.0,3.0,18.0,1.0,59.0,0.0,50.0,1.0,71.60220994475138,83.33333333333334,75.0,8.333333333333343
107241402,807,1,0.0,2.0,0.0,0.0,0.0,14.0,69.0,9.0,0.0,0.0,4.0,41.0,15.0,23.0,1.0,0.0,6.0,13.0,16.0,2.0,14.0,11.0,0.0,3.0,3.0,1.0,50.0,59.5,4.0,0.0,23.0,13.0,1.0,6.0,22.0,1.0,48.0,0.0,75.0,1.0,88.0,63.63636363636363,81.81818181818183,-18.181818181818194
107241402,807,2,0.0,0.0,0.0,0.0,0.0,12.0,80.0,14.0,2.0,2.0,6.0,55.0,18.0,30.0,4.0,100.0,3.0,15.0,22.0,3.0,19.0,12.0,4.0,3.0,0.0,2.0,33.0,164.0,2.0,0.0,30.0,16.0,3.0,3.0,26.0,1.0,58.0,0.0,75.0,1.0,104.0,73.07692307692307,54.54545454545454,18.531468531468526
107241402,807,3,1.0,0.0,0.0,0.0,1.0,15.0,72.0,15.0,2.0,2.0,3.0,38.0,14.0,21.0,2.0,100.0,4.0,13.0,16.0,1.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,94.5,4.0,1.0,21.0,20.0,2.0,5.0,21.0,0.0,44.0,0.0,0.0,0.0,83.81374722838137,71.42857142857143,90.47619047619048,-19.04761904761905
107241402,807,4,1.0,0.0,0.0,0.0,0.0,14.0,80.0,21.0,0.0,0.0,4.0,38.0,14.0,21.0,1.0,100.0,3.0,14.0,16.0,1.0,15.0,12.0,1.0,2.0,0.0,1.0,0.0,95.5,3.0,1.0,21.0,25.0,4.0,3.0,20.0,0.0,41.0,0.0,50.0,0.0,79.55801104972376,75.0,83.33333333333334,-8.333333333333343
