playerName,squadName,oppSquadName,roundNo,matchResult,attempt1,attempt2,goal1,goal2,goalAttempts,badPasses,badHands,offsides,breaks,contactPenalties,obstructionPenalties,penalties,centrePassReceives,secondPhaseReceive,deflectionWithGain,deflectionWithNoGain,deflections,gain,feeds,feedWithAttempt,generalPlayTurnovers,goalAssists,interceptPassThrown,intercepts,netPoints,pickups,points
Maddy Turner,Swifts,Firebirds,12,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,12.0,3.0,7.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,32.5,0.0,0.0
Teigan O'Shannassy,Swifts,Firebirds,12,loss,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,10.0,4.0,0.0,1.0,4.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,68.0,0.0,0.0
Allie Smith,Swifts,Firebirds,12,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sophie Fawns,Swifts,Firebirds,12,loss,3.0,4.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-2.0,0.0,4.0
Lili Gorman-Brown,Swifts,Firebirds,12,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uneeq Palavi,Swifts,Firebirds,12,loss,37.0,6.0,35.0,2.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,2.0,39.0
Maddy Proud,Swifts,Thunderbirds,13,loss,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,3.0,25.0,7.0,0.0,0.0,0.0,0.0,38.0,26.0,3.0,14.0,1.0,0.0,75.5,2.0,0.0
Paige Hadley,Swifts,Thunderbirds,13,loss,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,6.0,1.0,1.0,2.0,3.0,16.0,14.0,5.0,11.0,0.0,2.0,77.5,3.0,0.0
Sarah Klau,Swifts,Thunderbirds,13,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,12.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0
Helen Housby,Swifts,Thunderbirds,13,loss,17.0,6.0,14.0,2.0,23.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,13.0,0.0,1.0,1.0,0.0,4.0,4.0,4.0,3.0,2.0,0.0,15.5,1.0,18.0
Maddy Turner,Swifts,Thunderbirds,13,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
Teigan O'Shannassy,Swifts,Thunderbirds,13,loss,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,8.0,3.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,33.5,0.0,0.0
Allie Smith,Swifts,Thunderbirds,13,loss,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Sophie Fawns,Swifts,Thunderbirds,13,loss,19.0,9.0,14.0,3.0,28.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,11.0,6.0,0.0,2.0,2.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.5,0.0,20.0
Lili Gorman-Brown,Swifts,Thunderbirds,13,loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,-0.5,0.0,0.0
Uneeq Palavi,Swifts,Thunderbirds,13,loss,13.0,1.0,10.0,0.0,14.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,10.0
Maddy Proud,Swifts,GIANTS,14,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,9.0,14.0,8.0,0.0,0.0,0.0,0.0,25.0,20.0,2.0,17.0,2.0,0.0,66.5,1.0,0.0
Paige Hadley,Swifts,GIANTS,14,win,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,7.0,24.0,11.0,0.0,0.0,0.0,0.0,36.0,30.0,1.0,25.0,0.0,0.0,108.5,0.0,0.0
Sarah Klau,Swifts,GIANTS,14,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,16.0,0.0,0.0,3.0,1.0,4.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,24.5,2.0,0.0
Helen Housby,Swifts,GIANTS,14,win,14.0,7.0,13.0,6.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,0.0,0.0,0.0,1.0,22.0,18.0,2.0,18.0,1.0,1.0,112.5,0.0,25.0
Maddy Turner,Swifts,GIANTS,14,win,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,5.0,16.0,2.0,8.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,42.5,4.0,0.0
Teigan O'Shannassy,Swifts,GIANTS,14,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.5,0.0,0.0
Allie Smith,Swifts,GIANTS,14,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,12.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,13.0,3.0,0.0
Sophie Fawns,Swifts,GIANTS,14,win,2.0,3.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,-15.5,0.0,2.0
Lili Gorman-Brown,Swifts,GIANTS,14,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uneeq Palavi,Swifts,GIANTS,14,win,45.0,3.0,43.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,66.0,1.0,45.0
