squadName,attempt1,attempt2,goal1,goal2,goalAttempts,contactPenalties,obstructionPenalties,penalties,deflectionWithGain,deflectionWithNoGain,deflections,gain,feeds,feedWithAttempt,generalPlayTurnovers,goalAssists,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,interceptPassThrown,intercepts,netPoints,pickups,points
Fever,877.0,129.0,838.0,78.0,1006.0,586.0,190.0,776.0,65.0,159.0,224.0,189.0,1254.0,932.0,239.0,849.0,678.0,139.0,99.0,75.0,77.0,6710.0,142.0,994.0
Firebirds,812.0,157.0,727.0,78.0,969.0,603.0,156.0,759.0,42.0,155.0,197.0,169.0,1162.0,885.0,295.0,727.0,598.0,103.0,104.0,84.0,81.0,5253.0,134.0,883.0
GIANTS,670.0,224.0,599.0,126.0,894.0,611.0,161.0,774.0,40.0,172.0,212.0,159.0,1142.0,780.0,273.0,630.0,523.0,98.0,104.0,91.0,99.0,4799.0,110.0,851.0
Lightning,819.0,104.0,750.0,56.0,923.0,510.0,149.0,661.0,30.0,155.0,185.0,159.0,1238.0,819.0,252.0,718.0,594.0,110.0,102.0,80.0,78.0,5556.5,117.0,862.0
Magpies,771.0,124.0,714.0,53.0,895.0,703.0,152.0,855.0,40.0,170.0,210.0,168.0,1100.0,819.0,285.0,702.0,566.0,97.0,104.0,90.0,85.0,5123.0,120.0,820.0
Swifts,822.0,157.0,717.0,100.0,979.0,546.0,180.0,728.0,66.0,170.0,236.0,155.0,1168.0,854.0,239.0,704.0,622.0,112.0,83.0,68.0,65.0,5892.5,147.0,917.0
Thunderbirds,699.0,122.0,621.0,67.0,821.0,575.0,152.0,734.0,61.0,214.0,275.0,219.0,1114.0,753.0,275.0,629.0,462.0,139.0,87.0,94.0,102.0,5522.5,165.0,755.0
Vixens,833.0,122.0,745.0,69.0,955.0,666.0,161.0,828.0,49.0,134.0,183.0,163.0,1213.0,834.0,248.0,707.0,602.0,106.0,106.0,71.0,76.0,5570.0,142.0,883.0
