squadName,oppSquadName,roundNo,attempt1,attempt2,goal1,goal2,goalAttempts,badPasses,badHands,offsides,breaks,contactPenalties,obstructionPenalties,penalties,centrePassReceives,secondPhaseReceive,deflectionWithGain,deflectionWithNoGain,deflections,gain,feeds,feedWithAttempt,generalPlayTurnovers,goalAssists,interceptPassThrown,intercepts,netPoints,pickups,points
Thunderbirds,Firebirds,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,0.0,2.0,10.0,12.0,11.0,0.0,0.0,2.0,0.0,1.0,5.0,158.0,7.0,0.0
Thunderbirds,Swifts,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0
Thunderbirds,Lightning,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,9.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,76.5,0.0,0.0
Thunderbirds,GIANTS,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,7.0,8.0,9.0,0.0,0.0,1.0,0.0,1.0,2.0,133.0,5.0,0.0
Thunderbirds,Vixens,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,8.0,0.0,0.0,2.0,6.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,121.5,5.0,0.0
Thunderbirds,Fever,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,84.0,2.0,0.0
Thunderbirds,Magpies,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,10.0,11.0,8.0,0.0,0.0,1.0,0.0,1.0,4.0,101.5,0.0,0.0
Thunderbirds,GIANTS,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,11.0,0.0,0.0,2.0,4.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,89.5,3.0,0.0
Thunderbirds,Firebirds,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,1.0,8.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,154.5,3.0,0.0
Thunderbirds,Vixens,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,11.0,0.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,2.0,0.0,1.0,3.0,72.0,1.0,0.0
Thunderbirds,Fever,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,11.0,0.0,0.0,6.0,1.0,7.0,9.0,0.0,0.0,2.0,0.0,1.0,1.0,63.0,1.0,0.0
Thunderbirds,Magpies,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,0.0,0.0,1.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,46.5,0.0,0.0
Thunderbirds,Lightning,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,0.0,1.0,2.0,7.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,83.5,1.0,0.0
Thunderbirds,Swifts,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,0.0,2.0,4.0,6.0,8.0,0.0,0.0,2.0,0.0,1.0,3.0,80.0,0.0,0.0
