matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,goalsFromCentrePass,goalsFromGain,goalsFromTurnovers,intercepts,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,timeInPossession,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
95631204,802,806,1,0,2,0,0,0,14,22,1,3,14,3,5,9,1,8,6,1,0,2,0,1,0,22,4,2,45,0,8,16,63.78737541528239,50.0,73.07692307692307,-23.076923076923066
95631204,802,806,2,1,1,0,0,0,11,23,1,3,13,4,6,11,0,11,8,0,0,3,2,0,0,25,1,1,48,0,6,17,67.03176341730558,64.70588235294117,75.0,-10.294117647058826
95631204,802,806,3,1,1,0,1,0,15,12,0,1,18,2,8,14,2,12,8,0,0,2,5,1,0,17,2,1,51,0,11,24,95.36423841059603,50.0,75.0,-25.0
95631204,802,806,4,3,1,0,0,0,17,6,1,3,21,1,10,21,3,18,16,0,0,0,4,1,1,10,3,2,50,0,6,26,101.40845070422536,69.23076923076923,69.56521739130434,-0.3344481605351177
95631204,806,802,1,1,0,0,0,0,13,7,1,5,17,4,13,23,4,19,12,5,0,3,1,0,0,8,1,1,55,0,3,26,103.65448504983388,73.07692307692307,50.0,23.076923076923066
95631204,806,802,2,0,2,0,0,0,14,16,0,0,9,2,4,16,1,15,10,0,0,2,2,0,0,18,3,0,52,0,4,20,78.86089813800658,75.0,64.70588235294117,10.294117647058826
95631204,806,802,3,1,2,1,0,0,14,10,0,7,19,0,16,18,0,18,11,0,0,0,0,0,0,10,5,0,49,0,6,24,95.36423841059603,75.0,50.0,25.0
95631204,806,802,4,1,1,0,0,0,16,15,2,2,20,2,12,17,1,16,13,0,0,0,2,0,0,17,1,2,50,0,6,23,89.70747562296859,69.56521739130434,69.23076923076923,0.3344481605351177
