Camilla Lees
Courtney Tairi
Elias Scheres
Elissa Macleod
Erin Burger
Fa'amu Ioane
Hannah Petty
Jade Clarke
Jamie-Lee Price
Julie Seymour
Kaitlyn Bryce
Kate Moloney
Kelly Altmann
Kim Ravaillion
Laura Langman
Lauren Nourse
Leigh Waddington
Maddie Hinchliffe
Maddy Proud
Mahalia Cassidy
Maisie Nankivell
Molly Jovic
Natalie von Bertouch
Natasha Chokljat
Paige Hadley
Phillipa Finch
Samantha Sinclair
Serena Guthrie
Shae Brown
Shannon Francois
Tayla Williams
Temepara Bailey
Verity Simmons
