matchId,squadId,playerId,attempt1,attempt2,attempt_from_zone1,attempt_from_zone2,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionPossessionGain,deflectionWithGain,deflectionWithNoGain,deflections,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goal1,goal2,goalAssists,goalAttempts,goalMisses,goal_from_zone1,goal_from_zone2,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,netPoints,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,quartersPlayed,rebounds,secondPhaseReceive,tossUpWin,turnoverHeld,unforcedTurnovers,reboundsPer60,turnoverHeldPer60,netPointsPer60,penaltiesPer60,deflectionWithNoGainPer60,generalPlayTurnoversPer60,goal_from_zone2Per60,goal_from_zone1Per60,pointsPer60,goalMissesPer60,goalAssistsPer60,attempt_from_zone2Per60,centrePassReceivesPer60,obstructionPenaltiesPer60,attempt_from_zone1Per60,goalsPer60,offsidesPer60,goal2Per60,goal1Per60,missedGoalTurnoverPer60,deflectionPossessionGainPer60,contactPenaltiesPer60,gainToGoalPercPer60,centrePassToGoalPercPer60,interceptPassThrownPer60,gainPer60,blockedPer60,deflectionWithGainPer60,tossUpWinPer60,feedsPer60,attempt2Per60,attempt1Per60,secondPhaseReceivePer60,badPassesPer60,breaksPer60,blocksPer60,badHandsPer60,possessionChangesPer60,goalAttemptsPer60,deflectionsPer60,quartersPlayedPer60,minutesPlayedPer60,feedWithAttemptPer60,unforcedTurnoversPer60,pickupsPer60,interceptsPer60,plusMinus,plusMinusPer60
116650404,801,80830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0,90.5,3.0,0.0,13.0,2.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,90.5,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0,60.0,0.0,0.0,2.0,3.0,-1.0,-1.0
116650404,801,999806,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,60.0,0.0,3.5,2.0,3.0,11.0,1.0,0.0,5.0,4.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,3.5,11.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,60.0,1.0,3.0,1.0,1.0,-1.0,-1.0
116650404,801,1001865,35.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,32.0,0.0,0.0,35.0,3.0,32.0,0.0,32.0,0.0,0.0,60.0,1.0,39.5,3.0,0.0,8.0,2.0,32.0,5.0,4.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,39.5,8.0,1.0,4.0,0.0,32.0,32.0,3.0,0.0,0.0,0.0,3.0,35.0,32.0,0.0,0.0,32.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0,1.0,5.0,35.0,1.0,4.0,60.0,0.0,5.0,2.0,0.0,-1.0,-1.0
116650404,801,1007301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.816666666666666,0.0,11.5,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.80389523169913,14.5063801208865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25319006044325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5063801208865,0.0,0.0,0.0,2.4177300201477503,0.0,0.0,0.0,0.0,0.0,0.0,4.835460040295501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25319006044325,60.0,0.0,0.0,0.0,2.4177300201477503,-9.0,-21.759570181329753
116650404,801,1007306,8.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,3.0,5.0,0.0,11.0,9.0,4.0,5.0,0.0,5.0,1.0,0.0,33.55,3.0,5.0,1.0,0.0,4.0,2.0,5.0,6.0,3.0,0.0,8.0,0.0,1.0,1.0,0.0,1.7883755588673622,8.941877794336811,7.153502235469449,0.0,5.365126676602086,0.0,8.941877794336811,8.941877794336811,7.153502235469449,19.672131147540984,1.7883755588673622,17.883755588673623,1.7883755588673622,14.307004470938898,8.941877794336811,0.0,0.0,8.941877794336811,5.365126676602086,0.0,5.365126676602086,0.0,0.0,1.7883755588673622,0.0,0.0,0.0,0.0,23.248882265275707,1.7883755588673622,14.307004470938898,14.307004470938898,0.0,0.0,0.0,0.0,10.730253353204173,16.09538002980626,0.0,5.365126676602086,60.0,21.460506706408346,1.7883755588673622,3.5767511177347244,0.0,-4.0,-7.153502235469449
116650404,801,1015271,5.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,4.0,3.0,2.0,9.0,7.0,2.0,3.0,2.0,5.0,1.0,0.0,56.45,1.0,20.5,0.0,0.0,1.0,1.0,7.0,5.0,4.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,21.78919397697077,1.0628875110717448,0.0,4.251550044286979,2.1257750221434897,3.1886625332152345,7.440212577502214,2.1257750221434897,9.565987599645704,2.1257750221434897,18.06908768821966,0.0,5.314437555358724,5.314437555358724,0.0,2.1257750221434897,3.1886625332152345,1.0628875110717448,0.0,1.0628875110717448,0.0,0.0,1.0628875110717448,0.0,0.0,0.0,0.0,17.006200177147917,2.1257750221434897,5.314437555358724,7.440212577502214,1.0628875110717448,0.0,0.0,1.0628875110717448,5.314437555358724,7.440212577502214,0.0,4.251550044286979,60.0,10.628875110717448,3.1886625332152345,1.0628875110717448,0.0,0.0,0.0
116650404,801,1016033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,14.0,1.0,1.0,2.0,3.0,14.0,23.0,1.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,38.5,4.0,0.0,18.0,3.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,38.5,18.0,2.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,60.0,14.0,3.0,3.0,0.0,-1.0,-1.0
116650404,801,1019168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,2.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,34.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,68.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,20.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,60.0,14.0,0.0,0.0,0.0,2.0,4.0
116650404,801,1019205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,1.0,1.0,10.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.18333333333333,0.0,80.5,2.0,0.0,8.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.705352913311227,0.0,137.28090952155378,13.642823306489817,17.05352913311227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.116058739933681,3.410705826622454,0.0,0.0,0.0,0.0,0.0,0.0,1.705352913311227,10.232117479867362,0.0,0.0,0.0,6.821411653244908,0.0,1.705352913311227,0.0,0.0,0.0,0.0,5.116058739933681,0.0,1.705352913311227,0.0,0.0,0.0,0.0,18.758882046423498,5.116058739933681,60.0,0.0,0.0,1.705352913311227,3.410705826622454,8.0,13.642823306489817
116650404,801,1020223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116650404,806,80439,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0,7.0,1.0,1.0,0.0,1.0,20.0,28.0,1.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,45.0,0.0,17.5,0.0,0.0,7.0,1.0,0.0,7.0,3.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,23.333333333333332,9.333333333333332,0.0,9.333333333333332,0.0,0.0,0.0,0.0,18.666666666666664,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,9.333333333333332,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,0.0,37.33333333333333,0.0,0.0,6.666666666666666,0.0,1.3333333333333333,0.0,1.3333333333333333,9.333333333333332,0.0,1.3333333333333333,4.0,60.0,26.666666666666664,5.333333333333333,1.3333333333333333,0.0,1.0,1.3333333333333333
