matchId,squadId,GS,GA,WA,C,WD,GD,GK,startingTime,finishTime,teamStartScore,teamEndScore,oppStartScore,oppEndScore,duration,plusMinus,plusMinusPer60
113910602,804,80540,1013077,1022297,991901,1001701,80577,1001920,0.0,900.0,0,14,0,13,900.0,1,4.0
113910602,804,1013077,80540,1022297,991901,1001701,80577,1001920,900.0,2225.0,14,32,13,33,1325.0,-2,-5.433962264150944
113910602,804,80540,1013077,1022297,991901,1001701,80577,1001920,2225.0,2700.0,32,35,33,37,475.0,-1,-7.578947368421052
113910602,804,80540,1013077,1022297,991901,1014127,80577,1001920,2700.0,2976.0,35,38,37,43,276.0,-3,-39.1304347826087
113910602,804,80540,1013077,991901,1014127,1001701,80577,1001920,2976.0,3600.0,38,48,43,54,624.0,-1,-5.769230769230769
113910602,801,1001865,1015271,1016033,999806,1009731,1007301,80830,0.0,611.0,0,5,0,9,611.0,-4,-23.567921440261866
113910602,801,1001712,1015271,1016033,999806,1009731,1007301,80830,611.0,900.0,5,13,9,14,289.0,3,37.37024221453287
113910602,801,1001865,1015271,1016033,999806,1009731,1007301,80830,900.0,1268.0,13,19,14,19,368.0,1,9.782608695652174
113910602,801,1001865,1015271,1016033,999806,1019205,1007301,80830,1268.0,1589.0,19,21,19,23,321.0,-2,-22.429906542056077
113910602,801,1001712,1015271,1016033,999806,1019205,1007301,80830,1589.0,1800.0,21,25,23,27,211.0,0,0.0
113910602,801,1001865,1015271,1016033,999806,1019205,1007301,80830,1800.0,2225.0,25,33,27,32,425.0,3,25.411764705882355
113910602,801,1001865,1015271,1016033,1019168,1019205,1007301,80830,2225.0,2643.0,33,35,32,34,418.0,0,0.0
113910602,801,1001712,1015271,1016033,1019168,1019205,1007301,80830,2643.0,2700.0,35,37,34,35,57.0,1,63.15789473684211
113910602,801,1001865,1015271,1016033,1019168,1019205,1007301,80830,2700.0,3486.0,37,52,35,48,786.0,2,9.160305343511451
113910602,801,1001712,1015271,1016033,1019168,1019205,1007301,80830,3486.0,3600.0,52,54,48,48,114.0,2,63.15789473684211
