matchId,playerId,squadId,minutesPlayed
113910602,1001865,801,48.81666666666667
113910602,1015271,801,60.0
113910602,1016033,801,60.0
113910602,999806,801,37.083333333333336
113910602,1009731,801,21.133333333333333
113910602,1007301,801,60.0
113910602,80830,801,60.0
113910602,1001712,801,11.183333333333334
113910602,1019168,801,22.916666666666668
113910602,1019205,801,38.86666666666667
113910602,80540,804,60.0
113910602,1013077,804,60.0
113910602,1022297,804,49.6
113910602,991901,804,60.0
113910602,1001701,804,55.4
113910602,80577,804,60.0
113910602,1001920,804,60.0
113910602,1014127,804,15.0
113910602,995218,804,0.0
113910602,1019167,804,0.0
