matchId,squadId,oppSquadId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers,possessions,pacePer60,offensiveRating,defensiveRating,netRating
80120903,803,805,1,1,3,0,0,0,9,8,0,3,10,5,8,12,4,8,3,0,3,0,1,11,5,0,0,11,23,91.28996692392502,34.78260869565217,59.09090909090909,-24.30830039525692
80120903,803,805,2,1,1,0,0,0,13,6,1,3,22,1,12,22,5,17,0,0,2,1,0,8,2,2,0,3,24,95.4696132596685,70.83333333333334,72.72727272727273,-1.893939393939391
80120903,803,805,3,1,2,0,0,0,10,4,1,1,12,4,8,18,3,15,3,0,7,2,0,11,0,3,0,8,24,94.84083424807903,62.5,57.14285714285714,5.357142857142861
80120903,803,805,4,1,3,0,0,0,8,8,0,0,8,3,5,15,4,11,3,0,10,2,2,18,5,2,0,8,21,82.8039430449069,52.38095238095239,55.55555555555556,-3.1746031746031704
80120903,803,805,5,0,0,0,0,0,5,7,0,2,4,0,3,6,1,5,0,0,1,1,0,8,1,1,0,1,6,50.82352941176471,83.33333333333334,57.14285714285714,26.190476190476204
80120903,803,805,6,1,1,0,0,1,4,4,0,0,4,0,3,5,1,4,0,0,1,0,0,5,2,0,0,4,9,74.48275862068967,44.44444444444444,75.0,-30.555555555555557
80120903,805,803,1,1,4,0,0,1,10,7,2,7,7,4,7,13,0,13,2,0,2,0,1,9,2,2,0,9,22,87.32083792723263,59.09090909090909,34.78260869565217,24.30830039525692
80120903,805,803,2,0,0,0,0,2,16,15,2,3,16,3,12,18,2,16,1,0,4,0,0,19,2,2,0,4,22,87.51381215469614,72.72727272727273,70.83333333333334,1.893939393939391
80120903,805,803,3,0,1,0,0,0,14,18,0,1,15,4,7,15,3,12,3,0,4,0,1,22,4,0,0,6,21,82.98572996706915,57.14285714285714,62.5,-5.357142857142861
80120903,805,803,4,1,2,0,0,1,9,8,0,5,8,2,3,13,3,10,2,0,4,2,0,12,1,2,0,7,18,70.97480832420591,55.55555555555556,52.38095238095239,3.1746031746031704
80120903,805,803,5,1,0,0,0,0,5,6,0,4,3,1,3,5,1,4,0,0,0,0,0,6,1,0,0,2,7,59.294117647058826,57.14285714285714,83.33333333333334,-26.190476190476204
80120903,805,803,6,0,1,0,0,0,4,7,0,3,5,1,5,6,0,6,1,0,2,0,1,9,1,0,0,2,8,66.20689655172414,75.0,44.44444444444444,30.555555555555557
