matchId,squadId,GS,GA,WA,C,WD,GD,GK,startingTime,finishTime,teamStartScore,teamEndScore,oppStartScore,oppEndScore,duration,plusMinus,plusMinusPer60,oppSquadId
119950101,9491,1017607,1017606,1024728,1021429,1017605,1017603,1017609,0,900,0,12,0,17,900,-5,-20.0,9490
119950101,9491,1017607,1017606,1024728,1017605,1021427,1017603,1017609,900,1448,12,18,17,27,548,-4,-26.277372262773724,9490
119950101,9491,1017607,1017606,1024728,1017605,1021427,1017609,1021431,1448,2282,18,27,27,40,834,-4,-17.26618705035971,9490
119950101,9491,1017607,1021424,1024728,1021429,1021427,1017609,1021431,2282,2283,27,27,40,40,1,0,0.0,9490
119950101,9491,1017607,1021424,1024728,1021429,1017605,1021427,1021431,2283,3321,27,45,40,58,1038,0,0.0,9490
119950101,9491,1017612,1021424,1024783,1021429,1017605,1021427,1021431,3321,3600,45,48,58,64,279,-3,-38.70967741935483,9490
119950101,9490,1030103,1030096,1030106,1030105,1030101,1030099,1030094,0,1800,0,32,0,22,1800,10,20.0,9491
119950101,9490,1030104,1030096,1030106,1030105,1030101,1030099,1030094,1800,1813,32,32,22,22,13,0,0.0,9491
119950101,9490,1030104,1030096,1030106,1030105,1030108,1030099,1030094,1813,2700,32,49,22,32,887,7,28.41037204058625,9491
119950101,9490,1030104,1030096,1030105,1030100,1030108,1030098,1030094,2700,2971,49,54,32,37,271,0,0.0,9491
119950101,9490,1030104,1030102,1030105,1030100,1030108,1030098,1030094,2971,3600,54,64,37,48,629,-1,-5.723370429252783,9491
