matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,centrePassToGoalPerc,contactPenalties,deflectionWithGain,deflectionWithNoGain,feedWithAttempt,feeds,gain,gainToGoalPerc,generalPlayTurnovers,goalAssists,goalAttempts,goalMisses,goals,interceptPassThrown,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offsides,penalties,pickups,points,possessionChanges,quartersPlayed,rebounds,secondPhaseReceive,tossUpWin,turnoverHeld,unforcedTurnovers
119950101,9490,9491,1030103,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7,0,7,0,0,15,0,0,0,0,1,7,1,1,1,4,0,0,1
119950101,9490,9491,1030103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9490,9491,1030103,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9490,9491,1030104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9490,9491,1030104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9490,9491,1030104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,15,0,1,0,1,1,8,0,1,0,0,0,0,0
119950101,9490,9491,1030104,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,10,1,9,0,0,15,0,0,0,1,0,9,3,1,1,0,0,0,3
119950101,9490,9491,1030105,1,0,0,0,0,0,0,0,1,1,0,6,14,1,0,0,4,0,0,0,0,0,15,0,0,0,1,0,0,0,1,0,3,0,0,0
119950101,9490,9491,1030105,2,0,1,0,0,0,0,0,2,0,1,7,15,0,0,2,6,0,0,0,0,0,15,0,0,0,2,2,0,2,1,0,1,0,0,2
119950101,9490,9491,1030105,3,0,0,0,0,0,0,0,1,0,0,8,10,0,0,0,6,0,0,0,0,0,15,0,0,0,1,0,0,0,1,0,1,0,0,0
119950101,9490,9491,1030105,4,0,1,0,0,0,6,0,0,1,0,7,8,1,0,2,6,0,0,0,1,0,15,0,0,0,0,0,0,2,1,0,4,0,0,1
119950101,9490,9491,1030106,1,0,0,0,0,0,4,0,2,0,1,8,9,0,0,1,8,0,0,0,1,0,15,0,0,0,2,2,0,1,1,0,4,0,0,0
119950101,9490,9491,1030106,2,2,0,0,0,0,2,0,2,0,0,4,4,0,0,2,4,0,0,0,0,0,15,0,0,0,2,1,0,2,1,0,3,0,0,2
119950101,9490,9491,1030106,3,0,0,0,0,0,1,0,0,0,0,7,10,0,0,0,7,0,0,0,0,0,15,0,1,0,1,0,0,0,1,0,4,0,0,0
119950101,9490,9491,1030106,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9490,9491,1030108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9490,9491,1030108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9490,9491,1030108,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,2,0,0,1,0,2,0,0,0
119950101,9490,9491,1030108,4,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,1,0,0,1,0,1,0,0,0
119950101,9491,9490,1017603,1,0,1,0,0,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0,2,0,5,0,0,1,1,0,1,0,0,1
119950101,9491,9490,1017603,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,2,0,0,0,1,0,1,0,0,0
119950101,9491,9490,1017603,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9491,9490,1017603,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9491,9490,1017605,1,0,0,0,0,2,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,2,2,0,0,1,0,2,0,0,0
119950101,9491,9490,1017605,2,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,3,0,0,0,0,0,15,0,0,0,1,1,0,0,1,0,2,0,0,0
119950101,9491,9490,1017605,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,1,3,0,1,1,0,2,0,0,0
119950101,9491,9490,1017605,4,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,1,0,0,0
119950101,9491,9490,1017606,1,0,0,0,0,2,3,0,1,0,0,4,5,0,0,4,4,1,0,1,0,0,15,0,1,0,2,1,1,4,1,0,1,0,1,4
119950101,9491,9490,1017606,2,0,1,0,0,0,5,0,1,0,0,2,3,0,0,2,2,4,2,2,1,0,15,1,0,0,1,0,2,3,1,0,0,0,0,2
119950101,9491,9490,1017606,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0
119950101,9491,9490,1017606,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9491,9490,1017607,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,11,0,0,15,0,0,0,0,1,11,0,1,0,1,0,0,0
119950101,9491,9490,1017607,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,8,0,0,15,0,0,0,0,0,8,1,1,1,2,0,0,1
119950101,9491,9490,1017607,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,12,2,10,0,0,15,0,0,0,2,0,10,1,1,1,3,0,0,1
119950101,9491,9490,1017607,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,12,1,0,10,0,0,0,0,0,12,1,1,1,4,0,0,0
119950101,9491,9490,1017609,1,0,0,0,0,0,0,0,2,3,1,0,0,4,0,0,0,0,0,0,0,1,15,0,2,0,4,0,0,0,1,0,0,0,0,0
119950101,9491,9490,1017609,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,6,1,0,0,1,0,1,0,0,0
119950101,9491,9490,1017609,3,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,3,1,0,0,1,0,0,0,0,0
119950101,9491,9490,1017609,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9491,9490,1017612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9491,9490,1017612,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9491,9490,1017612,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119950101,9491,9490,1017612,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,4,1,0,0,0,0,2,1,1,0,0,0,0,1
119950101,9491,9490,1021424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
